SMILES,Observed(min),Prediction of testing-set(min),difference
CN1C[C@H]2CCCC[C@@]2(Cc2ccc(Cl)c(Cl)c2)C1,121.02000000337951,14.511802,106.50819828371398
Cc1cc(-c2ccc(C(=O)c3cccc(O)c3)s2)ccc1O,100.02000002313893,35.816162,64.20383791376393
C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC=C(c6ccc(C(=O)O)cc6)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,120.00000005280656,58.926434,61.073566489574134
Cc1ccoc1C(=O)Nc1ccc(F)c(-c2nc3ncccc3o2)c1,8.999999998972932,83.8915,74.89150238139817
COc1ccc(-c2cc(-c3ccc(S(C)(=O)=O)cc3)cnc2I)cn1,238.38000003993773,121.07936,117.30063907802366
COc1ccc(-c2cc(-c3ccc(-n4cncn4)cc3)cnc2N)cn1,209.99999989597273,143.70607,66.29392994968367
Cc1ccnc(NC(c2ccc([N+](=O)[O-])cc2)c2ccc3ccc(C)nc3c2O)c1,115.97999997376604,39.64657,76.3334316754262
N[C@H]1CCC[C@@H](c2ccncc2NC(=O)c2csc(-c3c(F)cccc3F)n2)C1,121.02000000337951,43.26848,77.75152160982482
N#C[C@@H]1CCCN1C(=O)c1ccccc1C(=O)NCc1ccccc1,31.00199999035832,110.06901,79.06700788317684
O=C(Nc1ccc(Cl)c(-c2nc3ncccc3o2)c1)c1ccco1,6.69999999882871,104.73114,98.03114013789003
N#Cc1ccc(NC(=O)c2ccc(C3(C(F)(F)F)CC3)cc2)cn1,88.01999998584245,148.3326,60.312595839352866
COc1ccc(C(SC[C@H](N)C(=O)O)(c2ccccc2)c2ccccc2)cc1,161.9999999983341,52.572147,109.42785262894932
CNc1nc(NCCCN(C)C)c2sc(-c3cccc(OC(F)(F)F)c3)cc2n1,229.9799999083718,89.70645,140.27354849235618
CNC(=O)c1c(-c2ccc(F)cc2)oc2nc(CCC(F)(F)F)c(-c3ccc(F)c(C(=O)NC(C)(C)c4ncon4)c3)cc12,16.998000002476036,97.33935,80.34134783687944
O=C(Nc1ccc(F)c(-c2nc3ncccc3o2)c1)c1cnco1,124.02000003725173,61.27699,62.74301105409744
CC(C)(C)c1cc(NC(=O)[C@@H]2CCCCN2C(=O)CC2CCOCC2)no1,109.98000001566467,18.34,91.63999986307678
CCOc1cc(NC(=O)C2(NC(=O)c3ccc4c(C5CCCC5)c(-c5ncc(Cl)cn5)n(C)c4c3)CCC2)nnc1/C=C/C(=O)O,136.0200000645562,207.23581,71.21580926161568
COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1nc(F)c(-c2ccc(-c3ccc(-c4[nH]c([C@@H]5CCCN5C(=O)[C@@H](NC(=O)OC)C(C)C)nc4F)cc3)cc2)[nH]1)C(C)C,123.77999998896937,49.774456,74.00554396479944
