SMILES,Observed(min),Prediction of testing-set(min),difference
CC(C)(C)C(=O)NC(C(=O)NO)c1ccc(-c2cc(F)c(F)c(F)c2)cc1,220.9799998977021,60.365837,160.61416280053413
COc1ccc2nc(NC(=O)C(CC3CCCC3)c3ccc(S(=O)(=O)N(C)Cc4ccco4)cc3)sc2n1,5.100000002508287,145.21553,140.11553039299952
O=C(O)CCCC(=O)N1N=C(c2c(-c3ccc(Cl)cc3)c3ccccc3[nH]c2=O)CC1c1ccc(Cl)cc1,13.002000005718587,122.512764,109.5107639713322
CN[C@@H]1CCc2ccccc2[C@H]1c1ccc(Cl)c(Cl)c1,94.98000000960485,31.887764,63.09223603255407
CN1CCC(Nc2nc(Nc3ccc(Cl)c(F)c3)nc3ccccc23)CC1,181.0199999679732,73.883705,107.13629482881305
O=C(O)CCNc1nc(-c2nccs2)cc(N2CCc3ccccc3CC2)n1,266.5199998741397,93.85468,172.66531695177645
COc1cc(C(=O)NCCN(C)C)ccc1-c1cc2c(N[C@H](C)c3ccccc3)ncnc2s1,226.98000007924048,110.03076,116.94923836049048
N#C[C@@H]1CCCN1C(=O)c1cccc2c1C(=O)N(Cc1ccccc1)C2,110.99999998998409,44.554638,66.44536208104854
O=C(Nc1ccc(F)c(-c2nc3ncccc3o2)c1)c1cnco1,124.02000003725173,17.464699,106.55530124574783
CC1(C)[C@H](NC(=O)/C(=N\OCc2cc(=O)c(O)cn2O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,284.9999999867333,55.453423,229.5465774403466
CNc1cc(C2(C(=O)Nc3cc(C(=O)Nc4ccc(OCC5CCN(C)CC5)c(C(F)(F)F)c4)ccc3C)CC2)ncn1,185.99999990865533,22.29877,163.7012290041143
C=CC(=O)NCc1coc(-c2c(N)ncnc2Nc2ccc(Oc3cc(Cl)ccc3Cl)c(Cl)c2)n1,95.99999997640938,25.438194,70.56180570150704
