SMILES,Observed(min),Prediction of testing-set(min),difference
CNS(=N)(=O)c1ccc(C(F)(F)F)cc1,46.99799998162116,128.39645,81.39845387580071
Cc1ccnc(NC(c2ccc([N+](=O)[O-])cc2)c2ccc3cccnc3c2O)c1,25.500000001471864,111.521614,86.02161407323517
COc1ccc(-c2cc(-c3ccc(C(F)(F)F)cc3)cnc2N)cn1,284.9999999867333,119.873886,165.12611387833488
COc1cc2[nH]c(C)c(-c3ccc(F)cc3C)c(=O)c2cc1Cl,115.97999997376604,54.71759,61.26240964173479
C1CCC(C(CC2CCCCN2)C2CC2)CC1,124.02000003725173,37.575233,86.44476657777908
CN1CCC(Nc2nc(Nc3ccc(Cl)c(F)c3)nc3ccccc23)CC1,181.0199999679732,71.27449,109.7455096115279
CC(C)(C)c1cc(NC(=O)[C@@H]2C[C@@H](O)CN2C2CCCCC2)on1,88.01999998584245,17.836859,70.1831412364528
COc1cc(C(=O)NCCN(C)C)ccc1-c1cc2c(N[C@H](C)c3ccccc3)ncnc2s1,226.98000007924048,126.97845,100.00155311879126
COCc1cc(N)c(Nc2ccc(C#N)cc2)cc1Oc1c(C)cc(CCC#N)cc1C,230.99999993077097,58.616604,172.3833960794526
O=C(NOCCO)c1cc(CN2OCCOC2=O)c(F)c(F)c1Nc1ccc(I)cc1F,37.99800001746967,118.938156,80.94015611046001
Cc1[nH]c2ncnc(-c3ccc(NC(=O)N(CCO)c4ccc(Cl)cc4)c(F)c3)c2c1C,99.00000000866358,24.976782,74.0232181635708
CC1=C2C[C@H]3[C@@H](CC[C@@H]4Cc5[nH]ncc5C[C@]34C)[C@@H]2CC[C@@]2(C1)O[C@@H]1C[C@H](C)CN[C@H]1[C@H]2C,120.00000005280656,41.249985,78.75001531159562
CC(C)C(=O)Nc1ccc2nn(-c3ccc(Cl)cc3)nc2c1,291.000000014727,217.2218,73.7781982569145
CC(C)(C)c1cc(NC(=O)[C@@H]2CCCCN2C(=O)CC2CCOCC2)no1,109.98000001566467,41.796722,68.1832776035553
O=C(NCCC(c1ccc(F)cc1)c1ccc(F)cc1)c1ccc(O)nc1,109.98000001566467,193.98587,84.00587034566345
