SMILES,Observed(min),Prediction of training-set(min)
C[C@]12CC[C@H]3[C@@H](CCC4C[C@H](NC(=O)C5CC5)CC[C@@]43C)[C@@H]1CC=C2c1cccnc1,1.000200000219478,1.008719
C=Cc1cnc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O,163.98000000886623,164.19559
Cc1cc(CCC#N)cc(C)c1Oc1cc(Nc2ccc(C#N)cc2)c(N)cc1Br,49.99799997969961,50.765476
O=C(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccncc1)c1ccc(-c2cc(F)ccc2F)cc1F,12.000000005209206,12.318828
CN1C[C@H]2CCCC[C@@]2(Cc2ccc(Cl)c(Cl)c2)C1,121.02000000337951,120.86403
N#Cc1ccc(NC(=O)c2ccc(C3(C(F)(F)F)CC3)cc2)cn1,88.01999998584245,88.46442
CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,37.05000001778418,37.03753
C[C@@H](c1ccc(Cl)cc1)N1Cc2cncn2C(C[C@H](O)c2ccccc2)S1(=O)=O,15.000000001798359,14.973957
Cc1cc(-c2ccc(CC(=O)Nc3ccc4c(c3)[nH]c3ccccc34)cc2)ccn1,43.0019999992373,43.57727
COc1ccc2[nH]c(SCc3ccccc3)nc2c1,120.00000005280656,119.388245
COc1cc(-c2cc(-c3ccc(S(C)(=O)=O)cc3)cnc2N)ccc1O,103.02000000872182,104.71965
COc1cc2c(N3CCN(C4CCCC4)CC3)nc(NCc3ccc(F)cc3)nc2cc1OCCCN1CCCC1,7.260000002797973,7.2867746
CCOc1cc(NC(=O)C2(NC(=O)c3ccc4c(C5CCCC5)c(-c5ncc(Cl)cn5)n(C)c4c3)CCC2)ccc1/C=C/C(=O)OCC(N)=O,58.998000011565175,59.00273
CCOc1cc(NC(=O)C2(NC(=O)c3ccc4c(C5CCCC5)c(-c5ncc(Cl)cn5)n(C)c4c3)CCC2)ncc1/C=C/C(=O)O,145.02000004041042,143.745
Nc1ncc(-c2nc(N3CCOCC3)nc3c2CCN3c2ccncc2)cn1,127.01999998060047,127.26288
CC(C)CCn1nc(N2CCCCC2)c(O)c(C2=NS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)c1=O,21.000000010472228,20.573406
N[C@H]1CCC[C@@H](c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cccc3F)n2)C1,106.98000001273027,105.68999
O=C1CC(=O)N(CCCCc2ccccc2)C(=O)N1CCCCc1ccccc1,15.000000001798359,15.069641
Cn1c(-c2cccnc2)c(C#N)c2ccccc21,10.00200000225434,10.065445
C[C@]12CC[C@H]3[C@@H](CC[C@H]4CCCCC[C@]34C)[C@@H]1CC=C2n1ccnc1,10.00200000225434,10.180505
c1ccc(CSc2nc3ccccc3[nH]2)nc1,120.00000005280656,119.99488
NC(=O)[C@H](CCc1ccccc1)NC(=O)[C@@H](N)Cc1ccccc1,31.998000012017826,31.94803
C[C@]12CC[C@H]3[C@@H](CCC4C[C@](C)(O)CC[C@@]43C)[C@@H]1CC=C2c1cncc(F)c1,1.000200000219478,1.0076278
O=S1(=Nc2ccccc2Cl)CCCCC1,28.002000000738335,28.201618
COC(=O)[C@H](CCC(N)=O)NC(=O)CCCCCCCCNC(=O)[C@]12CC[C@@H](C(C)C)[C@@H]1[C@H]1CC[C@@H]3[C@@]4(C)CC[C@H](O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2,31.638000014101465,31.723537
CC(C)(C)c1ccc(NC(=O)Nc2ccc3[nH]ncc3c2)s1,55.00200000079242,54.90374
O=C(NCCc1nc(-c2cccc(F)c2)cs1)N1CCCC1,16.998000002476036,17.342882
CSc1nc2c(Cc3ccccc3)cccn2c(=N)c1S(=O)(=O)c1ccccc1,5.500200000046493,5.51802
CC(C)CC[C@]1(C)CN(C2CC2)C(=O)C(C2=NS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)=C1O,5.500200000046493,5.4773808
Cc1noc(-c2ccc3c(c2)c2c(n3CCCSc3cc(F)cc(F)c3)CCC(F)(F)C2)n1,7.997999998380197,8.120469
CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2cccn21,13.997999999366629,13.782471
C=CC(=O)NCc1coc(-c2c(N)ncnc2Nc2ccc(Oc3ccccc3F)c(Cl)c2)n1,45.00000002033014,45.28166
Cc1c[nH]c2ncnc(-c3ccc(NC(=O)N(CCO)c4ccc(F)cc4)cc3)c12,43.99799999482509,44.610504
CC(C)OC(=O)C1=CN(C(=O)c2ccc(CN3CCOCC3)cc2)CC(C)(C)c2c1[nH]c1ccccc21,15.000000001798359,15.056317
CCCN(CCCNc1ccnc2cc(Cl)ccc12)Cc1cc(OC)ccc1O,6.701999999376595,6.7804866
CCCN(CCCNc1ccnc2cc(Cl)ccc12)CC1CC2C=CC1C2,13.800000000813396,14.028589
CC(C)(C)Cn1nc(-c2cccs2)c(O)c(C2=NS(=O)(=O)c3cc(OCC(N)=O)ccc3N2)c1=O,27.000000005879834,26.81209
CC(C)CCn1nc(-c2cccs2)c(O)c(C2=NS(=O)(=O)c3cc(C4=CCCC4=O)ccc3N2)c1=O,3.5999999991361307,3.5775628
Cc1[nH]c2ncnc(-c3ccc(NC(=O)N(CCN(C)C)c4ccc(Cl)cc4)c(F)c3)c2c1C,19.00200000831419,19.10271
CC(C)CC1n2cncc2CN(CC2CC2)S1(=O)=O,55.00200000079242,54.796764
CN1CCN(Cc2nnc(-c3cc(S(N)(=O)=O)c(SCc4ccccc4)cc3Cl)o2)CC1,18.498000001665417,18.618847
COc1cncc(C2CC[C@H]3[C@@H]4CCC5=CC(=O)NCC[C@]5(C)[C@H]4CC[C@]23C)c1,10.00200000225434,10.016103
O=C(NCCc1nc(-c2ccccc2F)cs1)c1ccccc1,34.00199999342277,34.224766
CN1CCN(c2cccc3ccc(OCc4noc(-c5ccc(Cl)cc5)n4)cc23)CC1,22.001999997906655,21.824259
COc1ccc2nc(NC(=O)C(CC3CCCC3)c3ccc(S(=O)(=O)N(C)CCO)cc3)sc2n1,10.00200000225434,10.058796
C[C@]12CC[C@H]3[C@@H](CC[C@H]4NC(=O)C=C[C@]34C)[C@@H]1CC[C@@H]2C(=O)NC1(C(F)(F)F)CC1,113.999999980347,115.40437
CCC(C)(C)CCn1nc(-c2cccs2)c(O)c(C2=CS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)c1=O,29.99999998679836,30.24747
O=C(N[C@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccncc1)c1ccc(-c2ccc(OCc3ccc(F)cc3)c(F)c2)cc1F,15.000000001798359,15.083305
CS(=O)(=O)Nc1ccc2c(c1)S(=O)(=O)N=C(C1=C(O)[C@@H]3C4CCC(CC4)[C@@H]3N(CC(F)(F)F)C1=O)N2,5.999999999964276,5.97167
O=C(c1ccc(N2CCCC2)nc1)N1CCC(NS(=O)(=O)c2cc(S(=O)(=O)c3ccccc3)ccc2C(F)(F)F)CC1,4.000200001408744,4.0212445
CC(C)(C)c1ccc(C(=O)Nc2ccc(C#N)cc2)cc1,85.02000002477965,84.91697
O=C(N[C@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccncc1)c1ccc(-c2ccc(OCc3ccc(F)cc3F)c(F)c2)cc1F,25.00199998884234,25.207123
CCCN(CCCNc1ccnc2cc(Cl)ccc12)Cc1cccc(OC)c1O,7.499999997598769,7.637454
C[C@@H]1CN(c2ccc(F)cc2C(F)(F)F)CCN1S(=O)(=O)c1ncc([C@](O)(C(N)=O)C(F)(F)F)s1,19.00200000831419,18.990889
CCOc1nc(NC(=O)C(C)(C)NC(=O)c2ccc3c(C4CCCC4)c(-c4ccc(F)cn4)n(C)c3c2)ccc1/C=C/C(=O)O,89.99999999026521,90.05087
CC(C)CN1C(=O)CN(Cc2ccc(-c3cccc(CN4CCCC(F)C4)n3)cc2)C1=O,13.997999999366629,14.13721
CN(C)S(=O)(=O)Oc1cncc(-c2c(C#N)c3ccccc3n2C)c1,2.9999999986619734,3.0194209
COc1ccc2c(c1)CCCN2c1nc(C)nc2ccccc12,25.187999989814085,25.310759
