epoch,fold_train_history,fold_valid_history,fold_test_history,fold_train_loss,fold_valid_loss,fold_test_loss,split_train_history,split_valid_history,split_test_history,split_train_loss,split_valid_loss,split_test_loss
1,0.298600601,0.284162957,0.114250731,1.184550068,1.196241507,1.302833737,0.384320814,0.495848527,0.251631259,1.114956334,0.987439343,1.200814787
2,0.539146566,0.527890536,0.533766803,0.958289714,0.972110144,0.946363991,0.606706088,0.621568125,0.598945275,0.891126246,0.855507382,0.879063052
3,0.65466289,0.628684618,0.604805423,0.832559281,0.86038268,0.87232377,0.692631846,0.676797134,0.626908371,0.787789263,0.790619476,0.84786354
4,0.757318778,0.729461159,0.683995545,0.697219097,0.73658879,0.780207587,0.772038659,0.790053327,0.688233647,0.678439655,0.637212674,0.775055548
5,0.829461513,0.789803141,0.689236598,0.581534075,0.644465182,0.772353645,0.871808299,0.890428874,0.717137685,0.508757212,0.460339211,0.738253907
6,0.912214271,0.876887487,0.690369854,0.417931722,0.495682675,0.772308256,0.926487896,0.940542916,0.688661317,0.385265436,0.339103062,0.774523769
7,0.950468725,0.921781626,0.676409357,0.313796724,0.395075354,0.78927619,0.954111298,0.946638855,0.682809227,0.304392194,0.321249511,0.781769063
8,0.96977286,0.954842157,0.66035681,0.240407834,0.298359789,0.808787389,0.97960033,0.976588405,0.672808271,0.202951468,0.212787155,0.793997922
9,0.986725431,0.975372647,0.671843083,0.16229918,0.221111462,0.794980453,0.98901766,0.985853507,0.68064552,0.148911438,0.165407159,0.784430939
10,0.992539877,0.987012381,0.667248,0.121372465,0.160286943,0.800690626,0.994370963,0.994195197,0.673074169,0.106609933,0.105955537,0.793675229
11,0.994666583,0.989859354,0.666785654,0.103269927,0.141731937,0.801181769,0.994496615,0.993671126,0.684428235,0.105413338,0.110635147,0.779771355
12,0.995484481,0.992844544,0.676843439,0.09291044,0.117516718,0.789029217,0.99733418,0.997429717,0.663900204,0.073366197,0.070505079,0.804733966
13,0.995229905,0.993265111,0.676875874,0.096897029,0.114346818,0.788991155,0.993166342,0.991918556,0.689340898,0.117464662,0.125018528,0.773678002
14,0.996925917,0.995401216,0.683391345,0.077601464,0.09441343,0.780967661,0.995867558,0.994815795,0.66820059,0.091344841,0.100131561,0.799569119
15,0.996679543,0.995544158,0.67738138,0.078930177,0.091500777,0.788418695,0.994532652,0.994554236,0.678498033,0.105067637,0.102626451,0.787063958
16,0.997976759,0.997144746,0.683626589,0.062444619,0.074859867,0.780742468,0.998247153,0.998131252,0.684584835,0.059491191,0.060118111,0.779577853
17,0.997660929,0.996926554,0.685716251,0.057908376,0.071980572,0.778138429,0.998651072,0.998291993,0.694720874,0.052188522,0.057474445,0.766949489
18,0.997694149,0.997004529,0.695287693,0.061991787,0.073080793,0.766232018,0.996180554,0.996356386,0.69488404,0.087817442,0.083945239,0.766744502
19,0.998776333,0.998175281,0.691388248,0.04614238,0.058924245,0.771121345,0.998923555,0.998943667,0.689053412,0.04662047,0.045199159,0.774035903
20,0.999099414,0.998730743,0.697447068,0.042327933,0.050124591,0.763509257,0.998995819,0.99879309,0.69771413,0.045028407,0.048313378,0.763180265
21,0.9990086,0.9987205,0.697966765,0.043112896,0.04898223,0.76285243,0.999261134,0.999206916,0.700331993,0.038624564,0.039164233,0.759868423
22,0.999114004,0.998614984,0.704106428,0.040335078,0.051556638,0.755060276,0.998388094,0.998255005,0.704185565,0.057049317,0.058093428,0.754966862
23,0.998365514,0.998097782,0.696752624,0.049948449,0.054319395,0.764347001,0.995231801,0.995556436,0.696219966,0.09812006,0.092703388,0.765064096
24,0.999028159,0.998848744,0.700973934,0.042201353,0.046217144,0.759031921,0.998785084,0.998926781,0.694277849,0.049528331,0.045558993,0.767505792
25,0.999506804,0.999185566,0.703755341,0.028532195,0.039344221,0.755512211,0.999391341,0.999224996,0.702348923,0.035056424,0.038715228,0.75730694
26,0.999650516,0.999381527,0.705153208,0.02548866,0.03399733,0.753722965,0.999718688,0.999698205,0.707280614,0.023832794,0.024159382,0.75100694
27,0.999199892,0.999042018,0.703293205,0.039396564,0.042524202,0.756094261,0.999218661,0.999225894,0.703979665,0.039719185,0.038692787,0.75522956
28,0.999478005,0.999329424,0.705809929,0.030638705,0.035205238,0.752887521,0.999167201,0.999217243,0.707795583,0.041006316,0.038908392,0.750346043
29,0.999366087,0.999202644,0.704559796,0.032703961,0.038982524,0.754478218,0.999898037,0.999919659,0.707399156,0.014348332,0.012465142,0.750854857
30,0.999049595,0.998929788,0.706857142,0.042444491,0.04568046,0.751513094,0.999208067,0.999135038,0.706646705,0.039987561,0.040900487,0.751819686
31,0.999604831,0.999479458,0.70872996,0.025473163,0.031609747,0.749141504,0.999001823,0.998945831,0.712080831,0.0448936,0.045152827,0.744823719
32,0.999771075,0.999616425,0.707291286,0.019727458,0.027162915,0.75099041,0.999862643,0.999851828,0.708772453,0.0166535,0.016928292,0.749090749
33,0.999537085,0.999415486,0.7098368,0.027627155,0.032206887,0.747716623,0.999837847,0.999806171,0.709375217,0.018094328,0.019361488,0.748315138
34,0.999668878,0.999546074,0.709597392,0.023718453,0.029791554,0.748027745,0.999603587,0.999670792,0.708068431,0.028291402,0.025232778,0.749995639
35,0.999583945,0.999426342,0.708765286,0.025135265,0.031736104,0.749091714,0.998927636,0.998878715,0.708003932,0.046532007,0.046568031,0.750078487
36,0.999700746,0.999597677,0.712230537,0.023486961,0.028091551,0.744622144,0.99961083,0.999620143,0.708633842,0.028031768,0.027104417,0.749268994
37,0.999495643,0.999470295,0.709636942,0.029055849,0.030259817,0.747977188,0.99987811,0.99985586,0.708625935,0.015687889,0.016696397,0.749279162
38,0.999729351,0.999701014,0.710659448,0.022546467,0.024178159,0.746658139,0.999882411,0.999875835,0.711720476,0.015408614,0.015496344,0.745289676
39,0.999789402,0.999758254,0.710189995,0.019482316,0.021829223,0.747260353,0.999827467,0.999843359,0.707135226,0.018664504,0.01740535,0.751193423
40,0.99953899,0.999537601,0.711209352,0.029328791,0.029897346,0.745943657,0.999656407,0.999660987,0.712125939,0.0263392,0.025605794,0.74476537
41,0.999817205,0.999757003,0.710632952,0.017258914,0.021773308,0.746692291,0.999628472,0.999674264,0.709767811,0.02738903,0.025099366,0.747809531
42,0.999777136,0.999751871,0.711839082,0.019968227,0.021530936,0.745135189,0.999746722,0.999779211,0.713224709,0.022614116,0.020664197,0.743342685
43,0.999743923,0.99971809,0.711121044,0.020621333,0.022847455,0.746059561,0.999702318,0.999687006,0.710691111,0.024516416,0.024603576,0.746619101
44,0.999730981,0.999707475,0.711094731,0.021361305,0.023496459,0.746093514,0.999913809,0.99993246,0.71055251,0.013191997,0.011429077,0.746797923
45,0.999622361,0.999611609,0.71350032,0.025580605,0.026540049,0.742983613,0.999341518,0.999312488,0.713764413,0.03646302,0.036464487,0.74264288
46,0.9997453,0.999739733,0.710017671,0.02106001,0.022237882,0.747471439,0.999883227,0.999885852,0.710798471,0.015355071,0.014858118,0.746480557
47,0.999884581,0.999860233,0.711569442,0.014475071,0.016711512,0.745484146,0.999889897,0.999885983,0.711604543,0.014910093,0.014849581,0.745439523
48,0.999687251,0.999658504,0.710365674,0.023789337,0.025074614,0.747037558,0.999452807,0.999414312,0.709596875,0.03323924,0.03365604,0.748029715
49,0.999740112,0.999734701,0.713241373,0.022503272,0.022881964,0.743320891,0.999764062,0.999687616,0.712882906,0.021826259,0.024579579,0.743785543
50,0.999825232,0.999818177,0.712263143,0.018221756,0.018798253,0.744587264,0.999841881,0.999849871,0.711771198,0.017867881,0.017039695,0.745224109
51,0.9998506,0.999833067,0.713154354,0.016239489,0.01769453,0.743427081,0.999705666,0.999691622,0.708465242,0.024378163,0.024421459,0.749485747
52,0.999878639,0.999861054,0.714415234,0.014755547,0.016348281,0.741796877,0.999928424,0.999932018,0.713131835,0.012021639,0.011466365,0.743463044
53,0.999877317,0.999855989,0.712363305,0.014252981,0.015910254,0.74445605,0.999801224,0.99977963,0.712865702,0.020033787,0.020644562,0.743807827
54,0.999805386,0.999802541,0.711775536,0.019216092,0.019419085,0.74521703,0.999783951,0.999771391,0.712211217,0.020886052,0.02102698,0.744655051
55,0.99991593,0.999895413,0.712709616,0.012535945,0.014224277,0.744008579,0.999882458,0.999893073,0.713053002,0.015405541,0.014380493,0.743565191
56,0.999905152,0.999887935,0.711280425,0.012937436,0.014462154,0.745856755,0.999931819,0.99994,0.711218226,0.011733058,0.010772256,0.745938628
57,0.999930026,0.99990391,0.712739293,0.011345879,0.01343693,0.74397016,0.999944361,0.999948687,0.71182806,0.010599177,0.009961938,0.745150596
58,0.999934229,0.999916457,0.712556823,0.011139036,0.012643926,0.744207055,0.99990289,0.999911814,0.71395415,0.014002739,0.013059618,0.742396701
59,0.999899542,0.999898076,0.711078921,0.013712724,0.014083985,0.7461172,0.999958306,0.999949023,0.710305387,0.009175281,0.009929256,0.747116654
60,0.999869095,0.999887271,0.711816589,0.014904998,0.014231596,0.74516386,0.999678122,0.999664212,0.709673231,0.025493324,0.025483717,0.747931369
61,0.99982554,0.999817167,0.710805528,0.017663161,0.018274131,0.746463728,0.999730234,0.999753011,0.712835223,0.023338558,0.021855895,0.743847303
62,0.99989451,0.999894236,0.711755297,0.013782853,0.01400664,0.745244188,0.999908589,0.999891428,0.71153954,0.0135856,0.01449066,0.745523527
63,0.99988748,0.999862717,0.712232309,0.012700826,0.014531961,0.744626313,0.999972824,0.999975065,0.711939203,0.007407522,0.006944353,0.745006886
64,0.999897462,0.999889543,0.713130912,0.013839483,0.014483387,0.743461047,0.999946209,0.999936951,0.712191517,0.010421653,0.011042501,0.744680537
65,0.999928219,0.999914994,0.712550055,0.011219821,0.012557644,0.744215793,0.999868967,0.999871055,0.712042284,0.016265641,0.01579184,0.744873576
66,0.999952402,0.999932655,0.712211586,0.008956744,0.011420686,0.744654128,0.999892719,0.999888421,0.712829245,0.014717775,0.014689977,0.743855045
67,0.999832472,0.999846096,0.712634305,0.016328752,0.016056224,0.744107195,0.999963915,0.999942949,0.713127446,0.008535779,0.01050417,0.743468731
68,0.999917026,0.999911684,0.71225697,0.012178686,0.012970946,0.744594666,0.999960124,0.99996152,0.71342761,0.008973021,0.008626728,0.743079672
69,0.9999026,0.999885338,0.712048223,0.012904892,0.014228633,0.744865259,0.999822143,0.999847593,0.711678124,0.018950311,0.017168518,0.745344421
70,0.999926641,0.999920151,0.711922879,0.011436408,0.012101978,0.745026082,0.999957096,0.999959005,0.711724294,0.009307427,0.0089042,0.745284741
71,0.999880738,0.999873543,0.712048211,0.014945631,0.014866666,0.744864078,0.999942126,0.999946945,0.711778011,0.010809883,0.010129575,0.7452153
72,0.999896746,0.9998985,0.712774446,0.012156332,0.012918148,0.743923997,0.999762088,0.999671267,0.715156896,0.021917393,0.025214558,0.740834267
73,0.999918843,0.99990876,0.713572939,0.011970891,0.013173917,0.742890585,0.999911766,0.999918751,0.712665063,0.013347477,0.012535415,0.744067654
74,0.999906984,0.999906116,0.712831801,0.012723389,0.012963755,0.74384992,0.999960987,0.99995541,0.712673096,0.008875319,0.009286399,0.744057253
75,0.999944686,0.99993616,0.712377316,0.010108367,0.011022579,0.744439101,0.999916,0.999904735,0.711738334,0.013023251,0.013573622,0.745266592
76,0.999923896,0.999920206,0.713047606,0.011197154,0.011910931,0.743570929,0.99979835,0.999827401,0.712700097,0.020178091,0.018270462,0.744022292
77,0.999912049,0.999902195,0.713353697,0.012395941,0.013264995,0.743174099,0.999975325,0.999971101,0.712699134,0.007058491,0.007476011,0.744023538
78,0.999930275,0.999926218,0.712785269,0.010770574,0.011439351,0.74391144,0.99994687,0.99994533,0.713643226,0.010357381,0.010282613,0.742800075
79,0.999951437,0.99994531,0.713956044,0.008358146,0.009752707,0.742393676,0.999861587,0.999844929,0.714892753,0.016717389,0.017317875,0.741177686
80,0.999962379,0.999952361,0.713566165,0.008104791,0.009640397,0.742899436,0.999980284,0.999984329,0.713642942,0.006309502,0.005505236,0.742800443
81,0.999937149,0.999931408,0.712627815,0.011173151,0.011707274,0.744114842,0.999935675,0.999930486,0.712165716,0.011396447,0.011594854,0.744713915
82,0.999917609,0.999912761,0.713731575,0.011678943,0.012215508,0.742684723,0.999944112,0.999948597,0.71326186,0.010622796,0.009970633,0.743294535
83,0.999924813,0.999908426,0.714083076,0.011603444,0.012819024,0.742227876,0.999983676,0.999980568,0.712468953,0.005741048,0.00613045,0.744321528
84,0.999900343,0.999886514,0.71364212,0.012867717,0.013466575,0.742800091,0.999939568,0.999946718,0.714058857,0.011046236,0.010151307,0.742260811
85,0.999933493,0.999931385,0.714931054,0.010935127,0.011370536,0.741124229,0.999912508,0.99990486,0.714408711,0.013291216,0.013564742,0.741806588
86,0.99994157,0.999935806,0.714006948,0.010276524,0.010960264,0.742328,0.99991983,0.999933405,0.714581156,0.012722929,0.011348782,0.741582596
87,0.999958417,0.999952414,0.715015231,0.008699155,0.009667422,0.741016819,0.999984889,0.999984976,0.714127889,0.005523748,0.005390496,0.742171208
88,0.999939886,0.999939438,0.714184363,0.010079839,0.01073777,0.742097427,0.999986161,0.999984972,0.713846611,0.005286116,0.005391171,0.74253624
89,0.999960563,0.999959269,0.714148287,0.008502348,0.008841738,0.742143855,0.999956096,0.999950937,0.714024551,0.009415295,0.009741065,0.742305337
90,0.999959839,0.999954597,0.7143501,0.008537835,0.009342055,0.741882541,0.999974124,0.999977521,0.713727578,0.007228136,0.006593512,0.742690663
91,0.999967061,0.999962009,0.714512896,0.008009541,0.008606108,0.741670322,0.999947573,0.999956182,0.716142381,0.010288619,0.009205667,0.739551608
92,0.99994449,0.999941546,0.714901733,0.010333746,0.010595662,0.741165444,0.999955935,0.999961351,0.714951008,0.009432542,0.008645651,0.741101961
93,0.999965206,0.999963971,0.714300547,0.00761524,0.008243209,0.741946943,0.999983289,0.999985031,0.714156253,0.005808741,0.005380604,0.742134388
94,0.999938822,0.999926755,0.714819776,0.010239177,0.011138808,0.74127228,0.999964922,0.999964435,0.715565964,0.008415872,0.008293512,0.740302114
95,0.999980479,0.999977525,0.71426669,0.006004921,0.006543986,0.741989462,0.999962272,0.999964222,0.71268943,0.008727918,0.00831833,0.744036103
96,0.999962232,0.99995774,0.714530264,0.008421448,0.00900547,0.741648488,0.99993041,0.99993848,0.713834138,0.011853682,0.010907829,0.742552423
97,0.999948948,0.999954532,0.71497302,0.009804085,0.009442643,0.741072662,0.999958722,0.999957377,0.714957804,0.009129346,0.009079326,0.741093127
98,0.9999626,0.999962824,0.714755278,0.008469488,0.0084336,0.741355995,0.99994747,0.999939676,0.714917458,0.010298715,0.010801303,0.741145573
99,0.99997856,0.999975986,0.714925249,0.005957605,0.006786686,0.741135272,0.999980669,0.999982127,0.71494641,0.006247576,0.005879281,0.741107939
100,0.99996947,0.999964305,0.71561358,0.007218158,0.008024132,0.740239854,0.999953274,0.999953936,0.7160875,0.009713126,0.009438681,0.739623097
