SMILES,Observed(min),Prediction of testing-set(min),difference
COc1ccc2nc(NC(=O)C(CC3CCCC3)c3ccc(S(=O)(=O)N(C)Cc4ccco4)cc3)sc2n1,5.100000002508286,119.84093,114.74092712151516
CN(C)CC(=O)N1CCC(n2cnc3cnc4[nH]ccc4c32)CC1,89.99999999026521,175.77151,85.77151490231292
CC(C)C(O/N=C(\C(=O)N[C@@H]1C(=O)N(S(=O)(=O)O)[C@@H]1Cn1cc(COCc2cc(=O)c(O)cn2O)nn1)c1csc(N)n1)c1cc(=O)c(O)cn1O,80.10000001183775,235.0827,154.982702624881
CC1=C2C[C@H]3[C@@H](CC[C@@H]4C[C@H](n5ccnn5)CC[C@]34C)[C@@H]2CC[C@@]2(C1)O[C@@H]1C[C@H](C)CN[C@H]1[C@H]2C,40.002000014325624,100.355225,60.353224595049376
CN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,112.98000003671676,20.182516,92.7974839386943
COc1ccc(-c2cc(-c3ccc(C(F)(F)F)cc3)cnc2N)cn1,284.99999998673326,131.90308,153.09692381485826
N#C[C@@H]1CS[C@H]2C[C@@H](NC(=O)OCc3ccccc3)C(=O)N21,133.98000001902236,33.468098,100.51190233225478
CC(C)(CO)c1ccc(-c2ccc(C#N)cn2)cc1,202.01999996385103,47.522255,154.49774502000338
NC1CCN(C2CN(CCC3(c4ccc(Cl)c(Cl)c4)CCC(=O)N(CC4CC4)C3)C2)CC1,29.999999986798365,92.04077,62.040771497576635
CN(C)CCNC(=O)c1ccc(-c2cc3c(N[C@H](CO)c4ccccc4)ncnc3s2)cc1,66.00000001291455,133.47028,67.4702758659917
COc1cc2c(N3CCN(C4CCCC4)CC3)nc(N3CCN(C)CC3)nc2cc1OCCCN1CCCC1,86.2799999742148,19.977459,66.30254102035738
Cc1[nH]c2ncnc(-c3ccc(NC(=O)N(CCO)c4ccc(Cl)cc4)c(F)c3)c2c1C,99.00000000866358,27.984352,71.01564789684717
Cc1cc(CCC#N)cc(C)c1Oc1cc(Nc2ccc(C#N)cc2)c(N)cc1CN(C)C,230.99999993077097,95.0449,135.95510094395456
O=C(NCCC(c1ccc(F)cc1)c1ccc(F)cc1)c1ccnc(OCC(F)(F)F)c1,139.01999993740773,45.885826,93.13417382656789
CC(C)(C)NC(=O)N(CCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO)C1CCCCC1,103.98000002771388,27.531956,76.44804430871974
CS(=O)(=O)c1ccc(C(CCNC(=O)c2ccc(O)nc2)c2ccc(F)cc2)cc1,157.02000007097166,34.577633,122.44236716691893
CN1C[C@H]2CCCC[C@@]2(Cc2ccc(Cl)c(Cl)c2)C1,121.02000000337951,17.102129,103.91787102083556
CCOc1ncc(-c2ccc(S(C)(=O)=O)cc2)cc1-c1ccc(OC)nc1,121.68000003298297,46.601437,75.07856341799274
O=C(O)c1cccc(NS(=O)(=O)c2ccc(-c3ccc(Cl)cc3Cl)cc2)c1,130.02000005796006,65.93792,64.08208044126084
