,CHEMBL_ID,Molecular Weight,SMILES,TYPE,Observed,Prediction of training-set
0,CHEMBL3672394,626.57,CNC(=O)c1c(-c2ccc(F)cc2)oc2nc(CCC(F)(F)F)c(-c3cnc(OC)c(C(=O)NC(C)(C)c4ncon4)c3)cc12,unstable,13.998000000000001,13.424579
1,CHEMBL1684713,453.6,CC(C)COC(=O)N1C[C@@H]2C[C@H]1CN2C(=O)[C@@]1(C(C)C)CC[C@@H](NC2CCOCC2F)C1,unstable,28.002,26.049988
2,CHEMBL4091105,283.36,O=S1(=N[C@H]2CC[C@@H](C(F)(F)F)CC2)CCCCC1,moderate,52.002,46.93615
3,CHEMBL1684712,465.61,CC(C)[C@]1(C(=O)N2C[C@@H]3C[C@H]2CN3C(=O)OC2CCCC2)CC[C@@H](NC2CCOCC2F)C1,unstable,16.998,16.284248
4,CHEMBL559431,441.7,CO[C@@H]1CC[C@]2(C)[C@H]3CC4=C(C)C[C@]5(CC[C@H]4[C@@H]3CC[C@@H]2C1)O[C@@H]1C[C@H](C)CN[C@H]1[C@H]5C,unstable,19.997999999999998,19.220549
5,CHEMBL4077250,249.44,C1CCC(CC(C2CCCC2)C2CCCC2)NC1,moderate,49.998000000000005,47.229595
6,CHEMBL3633360,400.44,COc1cc(-c2nccc3[nH]c(-c4cccc5[nH]ccc45)nc23)cc(OC)c1OC,moderate,33.102,31.961979
7,CHEMBL3979887,363.51,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)NCC[C@@]43C)[C@@H]1CC=C2c1cncnc1,unstable,1.0002,0.9564953
8,CHEMBL549326,449.68,CC1=C2C[C@H]3[C@@H](CC[C@@H]4c5c[nH]nc5CC[C@@]43C)[C@@H]2CC[C@@]2(C1)O[C@@H]1C[C@H](C)CN[C@H]1[C@H]2C,unstable,27.0,25.702726
9,CHEMBL477798,526.64,CC(C)CCn1nc(N(C)C(C)C)c(O)c(C2=NS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)c1=O,unstable,4.0001999999999995,3.6428492
10,CHEMBL4475689,339.47,CN1CCN(c2ccc(Nc3cc(-c4cccs4)n[nH]3)cc2)CC1,moderate,59.802,52.911232
11,CHEMBL1642917,306.24,CN[C@H]1CCc2ccccc2[C@H]1c1ccc(Cl)c(Cl)c1,moderate,55.001999999999995,56.239258
12,CHEMBL1669565,712.19,CCOC(=O)Cn1cc(CN2CCN(c3cc(C(=O)Nc4ccc5c(c4)-c4c(c(C(N)=O)nn4-c4ccc(F)cc4)CC5)c(Cl)cn3)CC2)cn1,unstable,3.0,2.5168757
