,CHEMBL_ID,Molecular Weight,SMILES,TYPE,Observed,Prediction of testing-set,difference
0,CHEMBL569022,301.17,Cc1nn(CCO)c(C)c1Oc1cc(Cl)cc(Cl)c1,stable,91.98,76.68716,-15.29284
1,CHEMBL398722,483.68,CCCCCN(C(=O)Nc1ccc(N(C)C)cc1)C1Cc2ccc(SC(C)(C)C(=O)O)cc2C1,stable,94.02,63.448692,-30.571308
2,CHEMBL4063646,367.97,S=C(NCCc1nc(-c2ccccc2)cs1)N1CCCCC1,unstable,8.202,8.365994,0.163994
3,CHEMBL2431653,420.51,COc1cc(NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)C2CCCCC2)ccn1,unstable,4.9998,5.4354534,0.4356534
4,CHEMBL4099219,402.43,O=c1c2ccccc2oc2c(Cc3ccc4c(c3)OCO4)[nH]c(-c3nccs3)c12,moderate,55.998,33.21034,-22.78766
5,CHEMBL3121286,340.42,COc1cccc(N2CCN(C(=O)c3cc(C)ccc3OC)CC2)c1,unstable,4.5,3.9455774,-0.5544226
6,CHEMBL3623875,383.41,Cc1cc(-c2ccc(OC(=O)Nc3ccc(-c4cnccn4)cn3)cc2)ccn1,unstable,13.002,32.623573,19.621573
7,CHEMBL4070181,535.01,CCOC(=O)c1cn(Cc2nnc(-c3cc(S(N)(=O)=O)c(SCc4ccccc4)cc3Cl)o2)nn1,unstable,5.1,10.0223465,4.9223465
8,CHEMBL2322474,434.31,O=S(=O)(Nc1cccc(CO)c1O)c1ccc(-c2ccc(Br)cc2)cc1,unstable,7.002,41.639606,34.637606
9,CHEMBL583254,429.54,COc1ccc(CCN2C(=O)N(NS(C)(=O)=O)CC2c2ccc(C3CC3)cc2)cc1,moderate,30,36.05777,6.05777
10,CHEMBL1087964,357.88,CCCN(CCCNc1ccnc2cc(Cl)ccc12)Cc1ccoc1,unstable,11.802,12.595606,0.793606
11,CHEMBL49,385.51,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,unstable,3.9,34.568424,30.668424
12,CHEMBL260083,551.57,CC(C)CCn1nc(CCC(F)(F)F)c(O)c(C2=NS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)c1=O,moderate,31.002,9.978022,-21.023978
13,CHEMBL2402276,312.41,CC1=C2CC(C)(C)/C=C/C(=O)/C(C)=C\C3=C[C@H](C)C[C@]3(O2)C1=O,unstable,6,12.297251,6.297251
14,CHEMBL2178691,433.55,CCS(=O)(=O)N1CCc2cc(C(=O)CSc3ccc4c(c3)OCCCO4)ccc21,unstable,1.3998,7.032706,5.632906
15,CHEMBL348653,502.49,O=C1CCC(CCN2CC(N3CCOCC3)C2)(c2ccc(Cl)c(Cl)c2)CN1Cc1ccccc1,stable,70.00000002,23.497711,-46.50228902
16,CHEMBL4061255,227.3,O=S1(=Nc2ccc(F)cc2)CCCCC1,stable,120,25.066565,-94.933435
17,CHEMBL604334,501.63,CC(C)OC(=O)C1=CN(C(=O)c2cccc(CN3CCOCC3)c2)CC(C)(C)c2c1[nH]c1ccccc21,unstable,4.9998,6.65475,1.65495
