,CHEMBL_ID,Molecular Weight,SMILES,TYPE,Observed,Prediction of training-set
0,CHEMBL3672394,626.57,CNC(=O)c1c(-c2ccc(F)cc2)oc2nc(CCC(F)(F)F)c(-c3cnc(OC)c(C(=O)NC(C)(C)c4ncon4)c3)cc12,unstable,13.998000000000001,14.353027
1,CHEMBL1684713,453.6,CC(C)COC(=O)N1C[C@@H]2C[C@H]1CN2C(=O)[C@@]1(C(C)C)CC[C@@H](NC2CCOCC2F)C1,unstable,28.002,28.287445
2,CHEMBL4091105,283.36,O=S1(=N[C@H]2CC[C@@H](C(F)(F)F)CC2)CCCCC1,moderate,52.002,52.21681
3,CHEMBL1684712,465.61,CC(C)[C@]1(C(=O)N2C[C@@H]3C[C@H]2CN3C(=O)OC2CCCC2)CC[C@@H](NC2CCOCC2F)C1,unstable,16.998,17.680784
4,CHEMBL559431,441.7,CO[C@@H]1CC[C@]2(C)[C@H]3CC4=C(C)C[C@]5(CC[C@H]4[C@@H]3CC[C@@H]2C1)O[C@@H]1C[C@H](C)CN[C@H]1[C@H]5C,unstable,19.997999999999998,20.835049
5,CHEMBL4077250,249.44,C1CCC(CC(C2CCCC2)C2CCCC2)NC1,moderate,49.998000000000005,47.29112
6,CHEMBL3633360,400.44,COc1cc(-c2nccc3[nH]c(-c4cccc5[nH]ccc45)nc23)cc(OC)c1OC,moderate,33.102,32.828136
7,CHEMBL3979887,363.51,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)NCC[C@@]43C)[C@@H]1CC=C2c1cncnc1,unstable,1.0002,1.0571768
8,CHEMBL549326,449.68,CC1=C2C[C@H]3[C@@H](CC[C@@H]4c5c[nH]nc5CC[C@@]43C)[C@@H]2CC[C@@]2(C1)O[C@@H]1C[C@H](C)CN[C@H]1[C@H]2C,unstable,27.0,27.482914
9,CHEMBL477798,526.64,CC(C)CCn1nc(N(C)C(C)C)c(O)c(C2=NS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)c1=O,unstable,4.0001999999999995,4.0040846
10,CHEMBL4475689,339.47,CN1CCN(c2ccc(Nc3cc(-c4cccs4)n[nH]3)cc2)CC1,moderate,59.802,60.9636
11,CHEMBL1642917,306.24,CN[C@H]1CCc2ccccc2[C@H]1c1ccc(Cl)c(Cl)c1,moderate,55.001999999999995,55.184456
12,CHEMBL1669565,712.19,CCOC(=O)Cn1cc(CN2CCN(c3cc(C(=O)Nc4ccc5c(c4)-c4c(c(C(N)=O)nn4-c4ccc(F)cc4)CC5)c(Cl)cn3)CC2)cn1,unstable,3.0,3.1069822
13,CHEMBL3113352,387.53,CSc1nc2ccccn2c(=N)c1S(=O)(=O)c1ccc(C(C)(C)C)cc1,unstable,3.9000000000000004,3.7592335
14,CHEMBL1946005,483.49,CN1C/C=C/CCOc2cccc(c2)-c2ccnc(n2)Nc2cc(cc(NC(=O)C(F)(F)F)c2)C1,unstable,21.0,23.611767
15,CHEMBL4176572,570.61,CC(C)C(O/N=C(\C(=O)N[C@@H]1C(=O)N(S(=O)(=O)O)C12CCCC2)c1csc(N)n1)c1cc(=O)c(O)cn1O,stable,271.02000000000004,292.79626
16,CHEMBL1091715,588.71,C[C@@H]1COCCN1c1nc(-c2ccc(NC(=O)Nc3ccc(OCCN(C)C)cc3)cc2)nc(N2C3CCC2COC3)n1,unstable,12.0,11.332221
17,CHEMBL2011137,392.88,CCC1=C(C(=O)OCC2CCCCC2)[C@H](c2ccc(O)c(Cl)c2)NC(=O)N1,moderate,36.0,31.183216
18,CHEMBL1096476,471.58,COc1cc(N2CCN(C3CCN(c4ccc(F)c5cccnc45)CC3)CC2)c2ncccc2c1,unstable,6.0,5.8539586
19,CHEMBL571952,447.56,COc1ccc(CCN2C(=O)N(NS(C)(=O)=O)CC2c2ccc(OC(C)C)cc2)cc1,moderate,30.0,29.750134
20,CHEMBL1828763,368.31,CC(C)n1ccnc1/N=C(/Nc1ccc(Cl)c(Cl)c1)NC(C)(C)C,moderate,40.398,36.28412
21,CHEMBL2386161,321.34,CC(C)(C)c1ccc(C(=O)Nc2ccc(C(F)(F)F)cc2)cc1,unstable,28.998,29.719662
22,CHEMBL3120286,419.58,CNc1nc(NCCCN(C)C)c2sc(-c3ccc(S(C)(=O)=O)cc3)cc2n1,stable,115.02,112.423805
23,CHEMBL390776,389.46,COc1cccc2c(=O)n(Cc3ccccc3C#N)c(N3CCCC(N)C3)nc12,stable,61.019999999999996,60.908638
24,CHEMBL1650420,374.45,N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)ncc(-c2cc[nH]c2)c1=O,stable,61.019999999999996,60.895615
25,CHEMBL3120287,426.59,CNc1nc(NCCCN(C)C)c2sc(-c3ccc(N4CCOCC4)cc3)cc2n1,unstable,15.0,14.665547
26,CHEMBL3927990,362.52,C[C@]12CC[C@H]3[C@@H](CC[C@H]4CC(=O)NCC[C@@]43C)C1=CC=C2c1cccnc1,unstable,1.0002,1.0344676
27,CHEMBL2431641,406.49,O=C(N[C@@H](Cc1c[nH]c2ccc(O)cc12)C(=O)Nc1ccncc1)C1CCCCC1,stable,85.98,73.6995
28,CHEMBL2181298,426.44,Nc1ncc(-c2ccc(C(=O)N3CCNCC3)cc2)cc1-c1ccc(C(F)(F)F)cc1,stable,122.99999999999999,116.43458
29,CHEMBL1684494,549.29,O=C(NOCCO)c1cc(CN2CCCC2=O)c(F)c(F)c1Nc1ccc(I)cc1F,stable,184.98000000000002,178.21361
30,CHEMBL3798764,326.4,O=C(NCCc1nc(-c2ccccc2F)cs1)c1ccccc1,moderate,34.001999999999995,32.90654
31,CHEMBL2181300,317.35,COc1ccc(-c2cc(-c3ccc4nccn4c3)cnc2N)cn1,stable,145.98,143.30067
32,CHEMBL489332,418.54,O=C(/C=C/c1ccc2c(c1)nc(CCc1ccccc1)n2CCN1CCCCC1)NO,stable,90.0,88.53475
33,CHEMBL2322471,434.31,O=S(=O)(Nc1ccc(O)c(CO)c1)c1ccc(-c2ccc(Br)cc2)cc1,unstable,10.001999999999999,10.113123
34,CHEMBL3422292,477.01,CCN(CC)CCC/N=C(/Nc1c2ccc(Cl)cc2nc2ccc(OC)nc12)c1cccnc1,moderate,31.998,29.297132
35,CHEMBL253005,515.57,NC(=O)COc1ccc2c(c1)S(=O)(=O)N=C(c1c(O)c(-c3ccsc3)nn(CCC3CC3)c1=O)N2,unstable,16.002,16.07962
36,CHEMBL2159747,322.41,O=C(NCc1ccccc1)c1ccccc1C(=O)N1CCCCC1,unstable,16.002,16.096636
37,CHEMBL3355188,631.54,O=C(N[C@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccncc1)c1ccc(N2CCN(c3ccc(Cl)c(Cl)c3)CC2)cc1F,unstable,7.998,7.479578
38,CHEMBL1835221,391.52,CCN1C(=O)CN(Cc2ccc(-c3cccc(CC4CCCCC4)n3)cc2)C1=O,moderate,40.001999999999995,38.67139
39,CHEMBL3355187,597.09,O=C(N[C@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccncc1)c1ccc(N2CCN(c3ccccc3Cl)CC2)cc1F,unstable,4.9998000000000005,4.769747
40,CHEMBL145304,381.48,CSc1nc2c3ccccc3ccn2c(=N)c1S(=O)(=O)c1ccccc1,unstable,7.902000000000001,7.7058167
41,CHEMBL4089643,574.1,NS(=O)(=O)c1cc(-c2nnc(CN3CCN(c4ccc(F)cc4)CC3)o2)c(Cl)cc1SCc1ccccc1,moderate,31.601999999999997,29.708076
42,CHEMBL227089,419.49,COc1cc2nc(N3CCC[C@@H](N)C3)n(Cc3ccccc3C#N)c(=O)c2cc1OC,stable,145.98,133.4321
43,CHEMBL3960367,357.5,CC1C[C@H]2C3=CC=C(c4cccnc4)[C@@]3(C)CC[C@@H]2[C@@]2(C)C=CC(=O)C=C12,unstable,1.0002,1.0289655
44,CHEMBL1503,345.42,COc1ccc2[nH]c([S+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1,unstable,25.998,24.673506
45,CHEMBL3407774,420.43,CNC(=O)[C@@]12C[C@@H]1[C@@H](n1cnc3c(NC)nc(C#Cc4cnccn4)nc31)[C@H](O)[C@@H]2O,stable,235.98,266.02643
46,CHEMBL3746175,356.41,CN(C)S(=O)(=O)Oc1cncc(-c2c(C#N)c3ccccc3n2C)c1,unstable,3.0,3.0777042
47,CHEMBL3958540,359.51,C=C1C[C@H]2[C@@H]3CC=C(c4cccnc4)[C@@]3(C)CC[C@@H]2[C@@]2(C)CCC(=O)C=C12,unstable,1.0002,1.0406723
48,CHEMBL259781,520.59,CC(C)CCn1nc(-c2cc[nH]c2)c(O)c(C2=NS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)c1=O,moderate,30.0,30.392729
49,CHEMBL1630771,258.37,CN(c1ncnc2[nH]ccc12)C1CCCCCCC1,unstable,7.002,6.8828497
50,CHEMBL3410053,453.91,Cc1[nH]c2ncnc(-c3ccc(NC(=O)N(CCO)c4ccc(Cl)cc4)c(F)c3)c2c1C,stable,99.0,92.87304
51,CHEMBL151570,508.53,O=C1CCC(CCN2CC(N3CCOCC3)C2)(c2ccc(Cl)c(Cl)c2)CN1CC1CCCCC1,stable,70.00000002,58.576836
52,CHEMBL255954,511.59,CC(C)CCn1nc(-c2cccs2)c(O)c(C2=NS(=O)(=O)c3cc(-c4cnn[nH]4)ccc3N2)c1=O,unstable,16.002,16.223566
53,CHEMBL1684492,553.27,CON(Cc1cc(C(=O)NOCCO)c(Nc2ccc(I)cc2F)c(F)c1F)C(C)=O,stable,64.02,58.697533
54,CHEMBL4061517,584.17,Cc1ccc(C)c(N2CCN(Cc3nnc(-c4cc(S(N)(=O)=O)c(SCc5ccccc5)cc4Cl)o3)CC2)c1,unstable,12.498000000000001,12.721875
55,CHEMBL3889967,385.52,C[C@]12CC[C@H]3[C@@H](CC(F)[C@]4(O)C[C@@H](O)CC[C@]34C)[C@@H]1CC=C2c1cccnc1,unstable,1.0002,1.0207049
56,CHEMBL2431628,414.47,COc1ccc(C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)Nc2ccncc2)cc1,unstable,7.998,7.903966
57,CHEMBL1630790,371.44,C[C@@H]1CCN(Cc2cccc(F)c2F)C[C@@H]1N(C)c1ncnc2[nH]ccc12,unstable,19.002,19.314262
58,CHEMBL497361,525.65,CC(C)(C)CCN1C(=O)C(C2=NS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)=C(O)C2(C)CCCN12,unstable,4.900200000000001,5.3113184
59,CHEMBL3357433,755.32,CCOc1cc(NC(=O)C2(NC(=O)c3ccc4c(C5CCCC5)c(-c5ncc(Cl)cn5)n(C)c4c3)CCC2)ccc1/C=C/C(=O)OCCN1CCOCC1,moderate,55.001999999999995,52.474415
60,CHEMBL475813,275.31,Cc1cc(Nc2ccc3ccccc3c2)n2ncnc2n1,unstable,18.0,16.211475
61,CHEMBL1079586,562.71,CS(=O)(=O)Nc1ccc2c(c1)S(=O)(=O)N=C(C1=C(O)[C@@H]3C4CCC(CC4)[C@@H]3N(CC3CCCCC3)C1=O)N2,moderate,49.998000000000005,51.387436
62,CHEMBL2322485,418.31,O=S(=O)(Nc1cccc(CO)c1)c1ccc(-c2ccc(Br)cc2)cc1,moderate,42.0,32.266495
63,CHEMBL3422286,413.95,COc1ccc2nc3cc(Cl)ccc3c(N/C(=N/CCCN(C)C)C(C)C)c2n1,moderate,33.0,32.002884
64,CHEMBL393168,462.57,Fc1ccccc1-c1nc(COc2ccc3c(c2)C(N2CCN(C4CCCC4)CC2)CC3)no1,unstable,12.0,10.361381
65,CHEMBL3937430,365.49,C[C@]12CC[C@H]3[C@@H](CC(F)C4=CC(=O)CC[C@@]43C)[C@@H]1CC=C2c1cccnc1,unstable,1.0002,1.0402094
66,CHEMBL1080986,534.66,CS(=O)(=O)Nc1ccc2c(c1)S(=O)(=O)N=C(C1=C(O)[C@@H]3[C@H]4CC[C@H](C4)[C@@H]3N(CC3CCCC3)C1=O)N2,moderate,46.002,41.34508
67,CHEMBL3652000,393.54,Nc1ccc(C2CCCCC2)nc1C(=O)Nc1cnccc1[C@@H]1CCC[C@H](N)C1,stable,85.02,77.56903
68,CHEMBL3353881,395.38,CC(C)(C)c1cc(NC(=O)[C@@H]2CCC(=O)N2c2ccc(C(F)(F)F)cc2)on1,stable,169.98000000000002,164.35916
69,CHEMBL3949325,388.56,CC(=O)N[C@@H]1CC[C@@]2(C)C(=CC[C@H]3C4=CC=C(c5cccnc5)[C@@]4(C)CC[C@@H]32)C1,unstable,1.0002,0.9983591
70,CHEMBL3421824,318.85,CCN(CC)CCN/C(C)=N\c1ccnc2cc(Cl)ccc12,unstable,25.998,25.014532
71,CHEMBL3354530,291.4,CC(C)(C)c1cc(NC(=O)[C@@H]2CCCCN2C2CC2)no1,unstable,10.998,10.961592
72,CHEMBL3972001,458.57,CC(=O)N[C@@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC=C(c5cncc(C(F)(F)F)c5)[C@@]4(C)CC[C@@H]32)C1,unstable,1.0002,1.0509144
73,CHEMBL569184,419.5,COc1ccc(CCN2C(=O)N(NS(C)(=O)=O)C[C@@H]2c2ccc(OC)cc2)cc1,unstable,16.002,15.95505
74,CHEMBL4078543,611.78,CC(=O)OC[C@@H]1[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C)=O)CN1CCCCCCN(C(=O)NC(C)(C)C)C1CCCCC1,unstable,3.0,2.9642453
75,CHEMBL3914413,378.52,COc1cncc(C2=CC[C@H]3[C@@H]4CC=C5N(C)C(=O)C[C@]5(C)[C@H]4CC[C@]23C)c1,unstable,1.0002,1.0143799
76,CHEMBL3121278,356.48,CCOc1ccc(Nc2nc(-c3c(C)nc4sccn34)cs2)cc1,unstable,9.6,8.861151
77,CHEMBL583465,423.92,COc1ccc(CCN2C(=O)N(NS(C)(=O)=O)CC2c2ccc(Cl)cc2)cc1,moderate,30.0,30.437605
78,CHEMBL2408322,324.27,O=C(Nc1ccc(F)c(-c2nc3ncccc3o2)c1)c1cnco1,stable,124.02000000000001,117.858444
79,CHEMBL602061,545.68,CC(C)OC(=O)C1=CN(C(=O)c2cccc(OCCCN3CCOCC3)c2)CC(C)(C)c2c1[nH]c1ccccc21,unstable,4.0001999999999995,3.9108343
80,CHEMBL3354563,449.56,O=C(Nc1nc(-c2ccccc2)ns1)[C@@H]1CCCCN1C(=O)N1CCS(=O)(=O)CC1,stable,109.98,101.89723
81,CHEMBL3287188,252.32,CC(=O)N1CCc2cc(-c3cnccc3C)ccc21,unstable,16.998,16.455189
82,CHEMBL1669566,712.19,CCOC(=O)Cn1cc(CN2CCN(c3cc(C(=O)Nc4ccc5c(c4)-c4c(c(C(N)=O)nn4-c4cccc(F)c4)CC5)c(Cl)cn3)CC2)cn1,unstable,3.0,3.0211306
83,CHEMBL1096540,521.59,COc1cc(N2CCN(C3CCN(c4cccc5ccc(C(F)(F)F)nc45)CC3)CC2)c2ncccc2c1,unstable,3.0,3.2752006
84,CHEMBL1088375,368.91,CCCN(CCCNc1ccnc2cc(Cl)ccc12)Cc1ccccn1,unstable,7.6979999999999995,7.7824516
85,CHEMBL3126927,334.38,COc1ccc2c(c1)N(C)C(=O)CN2c1nc(C)nc2ccccc12,unstable,22.002000000000002,21.511068
86,CHEMBL258139,545.64,CC(C)CCn1nc(-c2cccs2)c(O)c(C2=NS(=O)(=O)c3cc(OC(C)(C)C(N)=O)ccc3N2)c1=O,unstable,21.0,21.230234
87,CHEMBL3125000,466.3,COc1ccc(-c2cc(-c3ccc(S(C)(=O)=O)cc3)cnc2I)cn1,stable,238.38,232.1507
88,CHEMBL4203703,352.49,CN1CCN(c2cc(CN(C)[C@H]3CCCc4cccnc43)ncn2)CC1,unstable,7.6979999999999995,7.280966
89,CHEMBL2431547,496.52,O=C(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccncc1)c1ccc(-c2ccc(F)cc2)cc1F,unstable,19.002,18.467512
90,CHEMBL2018911,234.32,COc1ccc2[nH]c(SCC3CC3)nc2c1,unstable,12.9,12.965916
91,CHEMBL3112612,343.79,CNCCc1c[nH]c2c1C(=O)C1=C(NC=CS1(=O)=O)C2=O,stable,100.02,100.323105
92,CHEMBL402129,524.62,CC(C)CCn1nc(-c2cccs2)c(O)c(C2=NS(=O)(=O)c3cc(C4=CCCC4=O)ccc3N2)c1=O,unstable,3.5999999999999996,3.5749943
