,CHEMBL_ID,Molecular Weight,SMILES,TYPE,Observed,Prediction of testing-set,difference
0,CHEMBL569022,301.17,Cc1nn(CCO)c(C)c1Oc1cc(Cl)cc(Cl)c1,stable,91.98,70.251076,-21.728924
1,CHEMBL398722,483.68,CCCCCN(C(=O)Nc1ccc(N(C)C)cc1)C1Cc2ccc(SC(C)(C)C(=O)O)cc2C1,stable,94.02,25.30778,-68.71222
2,CHEMBL4063646,367.97,S=C(NCCc1nc(-c2ccccc2)cs1)N1CCCCC1,unstable,8.202,13.075453,4.873453
3,CHEMBL2431653,420.51,COc1cc(NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)C2CCCCC2)ccn1,unstable,4.9998,5.7014985,0.7016985
4,CHEMBL4099219,402.43,O=c1c2ccccc2oc2c(Cc3ccc4c(c3)OCO4)[nH]c(-c3nccs3)c12,moderate,55.998,17.491833,-38.506167
5,CHEMBL3121286,340.42,COc1cccc(N2CCN(C(=O)c3cc(C)ccc3OC)CC2)c1,unstable,4.5,10.065519,5.565519
6,CHEMBL3623875,383.41,Cc1cc(-c2ccc(OC(=O)Nc3ccc(-c4cnccn4)cn3)cc2)ccn1,unstable,13.002,25.578186,12.576186
7,CHEMBL4070181,535.01,CCOC(=O)c1cn(Cc2nnc(-c3cc(S(N)(=O)=O)c(SCc4ccccc4)cc3Cl)o2)nn1,unstable,5.1,13.994727,8.894727
8,CHEMBL2322474,434.31,O=S(=O)(Nc1cccc(CO)c1O)c1ccc(-c2ccc(Br)cc2)cc1,unstable,7.002,32.87875,25.87675
9,CHEMBL583254,429.54,COc1ccc(CCN2C(=O)N(NS(C)(=O)=O)CC2c2ccc(C3CC3)cc2)cc1,moderate,30,36.505875,6.505875
10,CHEMBL1087964,357.88,CCCN(CCCNc1ccnc2cc(Cl)ccc12)Cc1ccoc1,unstable,11.802,11.549575,-0.252425
11,CHEMBL49,385.51,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,unstable,3.9,10.705284,6.805284
12,CHEMBL260083,551.57,CC(C)CCn1nc(CCC(F)(F)F)c(O)c(C2=NS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)c1=O,moderate,31.002,14.620213,-16.381787
13,CHEMBL2402276,312.41,CC1=C2CC(C)(C)/C=C/C(=O)/C(C)=C\C3=C[C@H](C)C[C@]3(O2)C1=O,unstable,6,30.372261,24.372261
14,CHEMBL2178691,433.55,CCS(=O)(=O)N1CCc2cc(C(=O)CSc3ccc4c(c3)OCCCO4)ccc21,unstable,1.3998,12.966964,11.567164
15,CHEMBL348653,502.49,O=C1CCC(CCN2CC(N3CCOCC3)C2)(c2ccc(Cl)c(Cl)c2)CN1Cc1ccccc1,stable,70.00000002,33.517212,-36.48278802
16,CHEMBL4061255,227.3,O=S1(=Nc2ccc(F)cc2)CCCCC1,stable,120,37.395927,-82.604073
17,CHEMBL604334,501.63,CC(C)OC(=O)C1=CN(C(=O)c2cccc(CN3CCOCC3)c2)CC(C)(C)c2c1[nH]c1ccccc21,unstable,4.9998,6.833743,1.833943
18,CHEMBL3259944,496.52,O=C(N[C@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccncc1)c1ccc(-c2cccc(F)c2)cc1F,unstable,18,17.139858,-0.860142
19,CHEMBL460963,420.56,CN(C)CC(C)(C)Cn1c(CCc2ccccc2)nc2cc(/C=C/C(=O)NO)ccc21,stable,60,76.73006,16.73006
20,CHEMBL4100873,632.6,[2H]C([2H])([2H])C(NC(=O)c1cc(-c2cc3c(C(=O)NC)c(-c4ccc(F)cc4)oc3nc2CCC(F)(F)F)cnc1OC)(c1ncon1)C([2H])([2H])[2H],unstable,25.002,41.083996,16.081996
21,CHEMBL3957953,392.59,CCc1cncc(C2=CC[C@H]3[C@@H]4CCN5C(=O)CCCC[C@]5(C)[C@H]4CC[C@]23C)c1,unstable,1.0002,1.0140945,0.0138945
22,CHEMBL259769,464.65,CCc1cccc(CC)c1-c1cc(OC)c2c(n1)CCCC2N(CC)c1cccc2ccccc12,moderate,54,18.091694,-35.908306
23,CHEMBL3746909,423.47,C[C@@H]1C[C@H](N)CN(c2ccncc2NC(=O)c2ccc(F)c(-c3ccccc3F)n2)C1,unstable,13.002,23.252014,10.250014
24,CHEMBL3289428,404.47,COCCN(C)CCNC(=O)c1cccn2c(=O)c3cc4ccccc4cc3nc12,unstable,13.998,14.652881,0.654881
25,CHEMBL227670,389.46,COc1ccc2nc(N3CCC[C@@H](N)C3)n(Cc3ccccc3C#N)c(=O)c2c1,stable,82.02,133.7229,51.7029
26,CHEMBL3902840,408.56,CC(=O)N[C@@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC=C(c5cncc(F)c5)[C@@]4(C)CC[C@@H]32)C1,unstable,1.0002,0.90958256,-0.09061744
27,CHEMBL2403341,451.33,O=c1ncn(Cc2c(F)cc(F)cc2F)c2ccc(Oc3ncccc3C(F)(F)F)cc12,stable,123,95.08738,-27.91262
28,CHEMBL214262,467.92,CCCN(CCCNc1ccnc2cc(Cl)ccc12)Cc1cc(OC(F)(F)F)ccc1O,unstable,6.9,19.168764,12.268764
29,CHEMBL3946740,376.54,CN1C(=O)CCC[C@@]2(C)C1=CC[C@H]1[C@@H]3CC=C(c4cccnc4)[C@@]3(C)CC[C@@H]12,unstable,1.0002,0.947875,-0.052325
30,CHEMBL2322702,518.46,C[C@@H]1CN(c2ccc(F)cc2C(F)(F)F)CCN1S(=O)(=O)c1cn(C)c(C(C)(O)C(F)(F)F)n1,unstable,10.002,10.686451,0.684451
31,CHEMBL256948,603.63,CS(=O)(=O)Nc1ccc2c(c1)S(=O)(=O)N=C(c1c(O)c(-c3cccs3)nn(CC3(C(F)(F)F)CCC3)c1=O)N2,stable,60,22.090557,-37.909443
32,CHEMBL1092393,570.7,CN(C)Cc1ccc(NC(=O)Nc2ccc(-c3nc(N4C5CCC4COC5)nc(N4C5CCC4COC5)n3)cc2)cc1,unstable,6,2.9468923,-3.0531077
33,CHEMBL386630,288.43,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,unstable,15,5.5945754,-9.4054246
34,CHEMBL1091351,570.7,O=C(Nc1ccc(-c2nc(C3CCOCC3)nc(N3C4CCC3COC4)n2)cc1)Nc1ccc(N2CCNCC2)cc1,unstable,27,13.025389,-13.974611
35,CHEMBL4102824,723.99,CCCC(=O)OC[C@@H]1[C@@H](OC(=O)CCC)[C@H](OC(=O)CCC)[C@@H](OC(=O)CCC)CN1CCCCCCN(C(=O)NC(C)(C)C)C1CCCCC1,unstable,13.998,3.3600888,-10.6379112
36,CHEMBL2181493,370.43,CNS(=O)(=O)c1ccc(-c2cnc(N)c(-c3ccc(OC)nc3)c2)cc1,stable,181.02,88.22343,-92.79657
37,CHEMBL410688,497.6,CCCc1nn(CCC(C)C)c(=O)c(C2=NS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)c1O,unstable,6,9.707957,3.707957
38,CHEMBL2431642,426.47,O=C(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccncc1)C1CCC(F)(F)CC1,unstable,6,9.499448,3.499448
39,CHEMBL2431538,539.01,O=C(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccncc1)c1ccc(/C=C/c2ccc(Cl)cc2)cc1F,stable,70.02,22.258009,-47.761991
40,CHEMBL2035813,494.91,C=CC(=O)NCc1coc(-c2c(N)ncnc2Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)n1,moderate,45,33.859894,-11.140106
41,CHEMBL3120276,410.47,CNc1nc(NCCCN(C)C)c2sc(-c3ccc(C(F)(F)F)nc3)cc2n1,stable,178.98,128.47179,-50.50821
42,CHEMBL2152305,331.42,c1ccc(CN2CCC(n3cnc4cnc5[nH]ccc5c43)CC2)cc1,moderate,48,215.34877,167.34877
43,CHEMBL1684706,493.54,CC(OC(=O)N1C[C@@H]2C[C@H]1CN2C(=O)[C@@]1(C(C)C)CC[C@@H](NC2CCOCC2F)C1)C(F)(F)F,unstable,25.998,42.973305,16.975305
44,CHEMBL3824048,444.31,CCC(=O)Nc1cc(Cl)c(Oc2ccc(O)c(-c3ccc(C(C)=O)cc3)c2)c(Cl)c1,unstable,5.7,12.104257,6.404257
45,CHEMBL398684,441.6,CCN(C(=O)Nc1ccc(N(C)C)cc1)C1Cc2ccc(SC(C)(C)C(=O)O)cc2C1,stable,79.98,30.825724,-49.154276
46,CHEMBL3770586,506.09,NCCOCCOCCOCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,unstable,26.202,21.88458,-4.31742
47,CHEMBL1800632,485.94,N#Cc1c(-c2ccc(C(F)(F)F)cc2)cc(NCCN2CCCC2)n2c1nc1ccccc12,unstable,19.602,30.075481,10.473481
48,CHEMBL2035827,388.79,C=CC(=O)NCc1coc(-c2c(N)ncnc2Nc2ccc(F)c(Cl)c2)n1,unstable,16.002,62.97593,46.97393
49,CHEMBL2431636,452.49,O=C(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccncc1)c1ccc2cc(F)ccc2c1,unstable,13.998,19.750664,5.752664
50,CHEMBL213403,413.95,CCCN(CCCNc1ccnc2cc(Cl)ccc12)Cc1cc(OC)ccc1O,unstable,6.702,17.022142,10.320142
51,CHEMBL1762282,399.58,CC(C)(C)c1ccc(NC(=O)N2CCCN(C(=O)CCC3CCCC3)CC2)cc1,unstable,3,2.7987888,-0.2012112
