,CHEMBL_ID,Molecular Weight,SMILES,TYPE,Observed,Prediction of training-set
0,CHEMBL3672394,626.57,CNC(=O)c1c(-c2ccc(F)cc2)oc2nc(CCC(F)(F)F)c(-c3cnc(OC)c(C(=O)NC(C)(C)c4ncon4)c3)cc12,unstable,13.998000000000001,12.779384
1,CHEMBL1684713,453.6,CC(C)COC(=O)N1C[C@@H]2C[C@H]1CN2C(=O)[C@@]1(C(C)C)CC[C@@H](NC2CCOCC2F)C1,unstable,28.002,28.4731
2,CHEMBL4091105,283.36,O=S1(=N[C@H]2CC[C@@H](C(F)(F)F)CC2)CCCCC1,moderate,52.002,47.954918
3,CHEMBL1684712,465.61,CC(C)[C@]1(C(=O)N2C[C@@H]3C[C@H]2CN3C(=O)OC2CCCC2)CC[C@@H](NC2CCOCC2F)C1,unstable,16.998,17.055075
4,CHEMBL559431,441.7,CO[C@@H]1CC[C@]2(C)[C@H]3CC4=C(C)C[C@]5(CC[C@H]4[C@@H]3CC[C@@H]2C1)O[C@@H]1C[C@H](C)CN[C@H]1[C@H]5C,unstable,19.997999999999998,23.42683
5,CHEMBL4077250,249.44,C1CCC(CC(C2CCCC2)C2CCCC2)NC1,moderate,49.998000000000005,50.57967
6,CHEMBL3633360,400.44,COc1cc(-c2nccc3[nH]c(-c4cccc5[nH]ccc45)nc23)cc(OC)c1OC,moderate,33.102,31.729485
7,CHEMBL3979887,363.51,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)NCC[C@@]43C)[C@@H]1CC=C2c1cncnc1,unstable,1.0002,1.0372999
8,CHEMBL549326,449.68,CC1=C2C[C@H]3[C@@H](CC[C@@H]4c5c[nH]nc5CC[C@@]43C)[C@@H]2CC[C@@]2(C1)O[C@@H]1C[C@H](C)CN[C@H]1[C@H]2C,unstable,27.0,29.769958
9,CHEMBL477798,526.64,CC(C)CCn1nc(N(C)C(C)C)c(O)c(C2=NS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)c1=O,unstable,4.0001999999999995,3.8394687
10,CHEMBL4475689,339.47,CN1CCN(c2ccc(Nc3cc(-c4cccs4)n[nH]3)cc2)CC1,moderate,59.802,63.09946
11,CHEMBL1642917,306.24,CN[C@H]1CCc2ccccc2[C@H]1c1ccc(Cl)c(Cl)c1,moderate,55.001999999999995,52.176277
12,CHEMBL1669565,712.19,CCOC(=O)Cn1cc(CN2CCN(c3cc(C(=O)Nc4ccc5c(c4)-c4c(c(C(N)=O)nn4-c4ccc(F)cc4)CC5)c(Cl)cn3)CC2)cn1,unstable,3.0,2.615406
13,CHEMBL3113352,387.53,CSc1nc2ccccn2c(=N)c1S(=O)(=O)c1ccc(C(C)(C)C)cc1,unstable,3.9000000000000004,3.423718
14,CHEMBL1946005,483.49,CN1C/C=C/CCOc2cccc(c2)-c2ccnc(n2)Nc2cc(cc(NC(=O)C(F)(F)F)c2)C1,unstable,21.0,23.020214
15,CHEMBL4176572,570.61,CC(C)C(O/N=C(\C(=O)N[C@@H]1C(=O)N(S(=O)(=O)O)C12CCCC2)c1csc(N)n1)c1cc(=O)c(O)cn1O,stable,271.02000000000004,242.42169
16,CHEMBL1091715,588.71,C[C@@H]1COCCN1c1nc(-c2ccc(NC(=O)Nc3ccc(OCCN(C)C)cc3)cc2)nc(N2C3CCC2COC3)n1,unstable,12.0,12.30373
17,CHEMBL2011137,392.88,CCC1=C(C(=O)OCC2CCCCC2)[C@H](c2ccc(O)c(Cl)c2)NC(=O)N1,moderate,36.0,30.858074
