,CHEMBL_ID,Molecular Weight,SMILES,TYPE,Observed,Prediction of testing-set
0,CHEMBL569022,301.17,Cc1nn(CCO)c(C)c1Oc1cc(Cl)cc(Cl)c1,stable,91.97999999999999,51.834496
1,CHEMBL398722,483.68,CCCCCN(C(=O)Nc1ccc(N(C)C)cc1)C1Cc2ccc(SC(C)(C)C(=O)O)cc2C1,stable,94.02,9.683346
2,CHEMBL4063646,367.97,S=C(NCCc1nc(-c2ccccc2)cs1)N1CCCCC1,unstable,8.202,10.7276745
3,CHEMBL2431653,420.51,COc1cc(NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)C2CCCCC2)ccn1,unstable,4.9998000000000005,5.6862535
4,CHEMBL4099219,402.43,O=c1c2ccccc2oc2c(Cc3ccc4c(c3)OCO4)[nH]c(-c3nccs3)c12,moderate,55.998000000000005,14.654141
5,CHEMBL3121286,340.42,COc1cccc(N2CCN(C(=O)c3cc(C)ccc3OC)CC2)c1,unstable,4.5,7.256216
6,CHEMBL3623875,383.41,Cc1cc(-c2ccc(OC(=O)Nc3ccc(-c4cnccn4)cn3)cc2)ccn1,unstable,13.002,22.963387
7,CHEMBL4070181,535.01,CCOC(=O)c1cn(Cc2nnc(-c3cc(S(N)(=O)=O)c(SCc4ccccc4)cc3Cl)o2)nn1,unstable,5.1000000000000005,8.766979
8,CHEMBL2322474,434.31,O=S(=O)(Nc1cccc(CO)c1O)c1ccc(-c2ccc(Br)cc2)cc1,unstable,7.002,32.47953
9,CHEMBL583254,429.54,COc1ccc(CCN2C(=O)N(NS(C)(=O)=O)CC2c2ccc(C3CC3)cc2)cc1,moderate,30.0,26.310764
10,CHEMBL1087964,357.88,CCCN(CCCNc1ccnc2cc(Cl)ccc12)Cc1ccoc1,unstable,11.802000000000001,10.509174
11,CHEMBL49,385.51,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,unstable,3.9000000000000004,15.095133
12,CHEMBL260083,551.57,CC(C)CCn1nc(CCC(F)(F)F)c(O)c(C2=NS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)c1=O,moderate,31.002000000000002,8.664097
13,CHEMBL2402276,312.41,CC1=C2CC(C)(C)/C=C/C(=O)/C(C)=C\C3=C[C@H](C)C[C@]3(O2)C1=O,unstable,6.0,17.145245
14,CHEMBL2178691,433.55,CCS(=O)(=O)N1CCc2cc(C(=O)CSc3ccc4c(c3)OCCCO4)ccc21,unstable,1.3998,4.408369
15,CHEMBL348653,502.49,O=C1CCC(CCN2CC(N3CCOCC3)C2)(c2ccc(Cl)c(Cl)c2)CN1Cc1ccccc1,stable,70.00000002,17.674011
16,CHEMBL4061255,227.3,O=S1(=Nc2ccc(F)cc2)CCCCC1,stable,120.0,14.163122
17,CHEMBL604334,501.63,CC(C)OC(=O)C1=CN(C(=O)c2cccc(CN3CCOCC3)c2)CC(C)(C)c2c1[nH]c1ccccc21,unstable,4.9998000000000005,4.8354354
18,CHEMBL3259944,496.52,O=C(N[C@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccncc1)c1ccc(-c2cccc(F)c2)cc1F,unstable,18.0,16.181591
19,CHEMBL460963,420.56,CN(C)CC(C)(C)Cn1c(CCc2ccccc2)nc2cc(/C=C/C(=O)NO)ccc21,stable,60.0,27.809261
20,CHEMBL4100873,632.6,[2H]C([2H])([2H])C(NC(=O)c1cc(-c2cc3c(C(=O)NC)c(-c4ccc(F)cc4)oc3nc2CCC(F)(F)F)cnc1OC)(c1ncon1)C([2H])([2H])[2H],unstable,25.002000000000002,23.104729
21,CHEMBL3957953,392.59,CCc1cncc(C2=CC[C@H]3[C@@H]4CCN5C(=O)CCCC[C@]5(C)[C@H]4CC[C@]23C)c1,unstable,1.0002,0.7256317
22,CHEMBL259769,464.65,CCc1cccc(CC)c1-c1cc(OC)c2c(n1)CCCC2N(CC)c1cccc2ccccc12,moderate,54.0,22.794842
23,CHEMBL3746909,423.47,C[C@@H]1C[C@H](N)CN(c2ccncc2NC(=O)c2ccc(F)c(-c3ccccc3F)n2)C1,unstable,13.002,30.276726
24,CHEMBL3289428,404.47,COCCN(C)CCNC(=O)c1cccn2c(=O)c3cc4ccccc4cc3nc12,unstable,13.998000000000001,35.128304
25,CHEMBL227670,389.46,COc1ccc2nc(N3CCC[C@@H](N)C3)n(Cc3ccccc3C#N)c(=O)c2c1,stable,82.02,81.72695
