,CHEMBL_ID,Molecular Weight,SMILES,TYPE,Observed,Prediction of testing-set
0,CHEMBL569022,301.17,Cc1nn(CCO)c(C)c1Oc1cc(Cl)cc(Cl)c1,stable,91.97999999999999,93.1573
1,CHEMBL398722,483.68,CCCCCN(C(=O)Nc1ccc(N(C)C)cc1)C1Cc2ccc(SC(C)(C)C(=O)O)cc2C1,stable,94.02,17.062494
2,CHEMBL4063646,367.97,S=C(NCCc1nc(-c2ccccc2)cs1)N1CCCCC1,unstable,8.202,10.221436
3,CHEMBL2431653,420.51,COc1cc(NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)C2CCCCC2)ccn1,unstable,4.9998000000000005,8.684671
4,CHEMBL4099219,402.43,O=c1c2ccccc2oc2c(Cc3ccc4c(c3)OCO4)[nH]c(-c3nccs3)c12,moderate,55.998000000000005,21.816736
5,CHEMBL3121286,340.42,COc1cccc(N2CCN(C(=O)c3cc(C)ccc3OC)CC2)c1,unstable,4.5,10.701094
6,CHEMBL3623875,383.41,Cc1cc(-c2ccc(OC(=O)Nc3ccc(-c4cnccn4)cn3)cc2)ccn1,unstable,13.002,28.617481
7,CHEMBL4070181,535.01,CCOC(=O)c1cn(Cc2nnc(-c3cc(S(N)(=O)=O)c(SCc4ccccc4)cc3Cl)o2)nn1,unstable,5.1000000000000005,8.805371
8,CHEMBL2322474,434.31,O=S(=O)(Nc1cccc(CO)c1O)c1ccc(-c2ccc(Br)cc2)cc1,unstable,7.002,39.265232
9,CHEMBL583254,429.54,COc1ccc(CCN2C(=O)N(NS(C)(=O)=O)CC2c2ccc(C3CC3)cc2)cc1,moderate,30.0,29.07206
10,CHEMBL1087964,357.88,CCCN(CCCNc1ccnc2cc(Cl)ccc12)Cc1ccoc1,unstable,11.802000000000001,11.539044
11,CHEMBL49,385.51,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,unstable,3.9000000000000004,36.130344
12,CHEMBL260083,551.57,CC(C)CCn1nc(CCC(F)(F)F)c(O)c(C2=NS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)c1=O,moderate,31.002000000000002,9.601315
13,CHEMBL2402276,312.41,CC1=C2CC(C)(C)/C=C/C(=O)/C(C)=C\C3=C[C@H](C)C[C@]3(O2)C1=O,unstable,6.0,15.216817
