smiles,half_life
[2H]C([2H])(c1cc(Cl)ccc1NCc1ccc(S(C)(=O)=O)cc1)N1CCN(C(=O)CNC(=O)C2CC23CCC(F)(F)CC3)CC1,-4.094144582
CC(=O)N[C@@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC=C(c5cncc(C(F)(F)F)c5)[C@@]4(C)CC[C@@H]32)C1,-4.094144582
COc1cncc(C2=CC[C@H]3[C@@H]4CC=C5C[C@H](NC(=O)C6CC6)CC[C@]5(C)[C@H]4CC[C@]23C)c1,-4.094144582
CC(=O)N[C@@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC=C(c5cncc(C(F)F)c5)[C@@]4(C)CC[C@@H]32)C1,-4.094144582
COc1cncc(C2=CC[C@H]3[C@@H]4CCC5C[C@@H](NC(C)=O)CC[C@]5(C)[C@H]4CC[C@]23C)c1,-4.094144582
CC(C)C(=O)N[C@H]1CC[C@@]2(C)C(CC[C@H]3[C@@H]4CC=C(c5cccnc5)[C@@]4(C)CC[C@@H]32)C1,-4.094144582
CCNC(=O)N[C@@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC=C(c5cccnc5)[C@@]4(C)CC[C@@H]32)C1,-4.094144582
C[C@]12CC[C@H]3[C@@H](CC=C4C[C@H](NC(=O)C5CCC5)CC[C@@]43C)[C@@H]1CC=C2n1ccnc1,-4.094144582
C[C@]12CC[C@H]3[C@@H](CCC4C[C@H](NC(=O)C5CC5)CC[C@@]43C)[C@@H]1CC=C2c1cccnc1,-4.094144582
CCCC(=O)N[C@@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC=C(c5cccnc5)[C@@]4(C)CC[C@@H]32)C1,-4.094144582
C[C@]12CC[C@H]3[C@@H](CC=C4C[C@H](NC(=O)C5CC5)CC[C@@]43C)[C@@H]1CC=C2c1cccnc1,-4.094144582
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)NCC[C@@]43C)[C@@H]1CC=C2c1cncc(C(F)F)c1,-4.094144582
CCNC(=O)N[C@@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC=C(n5ccnc5)[C@@]4(C)CC[C@@H]32)C1,-4.094144582
CC(=O)N[C@@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC=C(c5cncc(F)c5)[C@@]4(C)CC[C@@H]32)C1,-4.094144582
COc1cncc(C2=CC[C@H]3[C@@H]4CCC5=CC(=O)N(C)CC[C@]5(C)[C@H]4CC[C@]23C)c1,-4.094144582
COc1cncc(C2=CC[C@H]3[C@@H]4CC=C5N(C)C(=O)CCC[C@]5(C)[C@H]4CC[C@]23C)c1,-4.094144582
C[C@]12CC[C@H]3[C@@H](CC=C4C[C@H](NC(=O)C5CC5)CC[C@@]43C)[C@@H]1CC=C2n1ccnc1,-4.094144582
COc1cncc(C2=CC=C3[C@@H]4CCC5=CC(=O)N(C)CC[C@]5(C)[C@H]4CC[C@]23C)c1,-4.094144582
C[C@]12CC[C@H]3[C@@H](CC(F)C4(O)C[C@@H](O)CC[C@]34C)[C@@H]1CC=C2c1cncc(F)c1,-4.094144582
CCOc1cncc(C2=CC[C@H]3[C@@H]4CC[C@H]5COCCC[C@]5(C)[C@H]4CC[C@]23C)c1,-4.094144582
COc1cncc(C2=CC[C@H]3[C@@H]4CCN5C(=O)CCCC[C@]5(C)[C@H]4CC[C@]23C)c1,-4.094144582
CCc1cncc(C2=CC[C@H]3[C@@H]4CCN5C(=O)CCCC[C@]5(C)[C@H]4CC[C@]23C)c1,-4.094144582
CC(=O)N[C@H]1CC[C@@]2(C)C(CC[C@H]3[C@@H]4CC=C(c5cccnc5)[C@@]4(C)CC[C@@H]32)C1,-4.094144582
CC1C[C@H]2C3=CC=C(c4cncc(F)c4)[C@@]3(C)CC[C@@H]2[C@@]2(C)CCNC(=O)C=C12,-4.094144582
C[C@]12CC[C@H]3[C@@H](C4CC4C4=CC(=O)NCC[C@@]43C)[C@@H]1CC=C2c1cncc(F)c1,-4.094144582
CC(=O)N[C@@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC=C(c5cccnc5)[C@@]4(C)CC[C@@H]32)C1,-4.094144582
CC(=O)N[C@@H]1CC[C@@]2(C)C(CC[C@H]3C4=CC=C(c5cccnc5)[C@@]4(C)CC[C@@H]32)C1,-4.094144582
C[C@]12CC[C@H]3[C@@H](CC4(CC4)C4=CC(=O)NCC[C@@]43C)[C@@H]1CC=C2c1cccnc1,-4.094144582
CC(=O)N[C@@H]1CC[C@@]2(C)C(=CC[C@H]3C4=CC=C(c5cccnc5)[C@@]4(C)CC[C@@H]32)C1,-4.094144582
C[C@]12CC[C@H]3[C@@H](CC(F)[C@]4(O)C[C@@H](O)CC[C@]34C)[C@@H]1CC=C2c1cccnc1,-4.094144582
C[C@]12CC[C@H]3[C@@H](CC(F)[C@@]4(O)C[C@@H](O)CC[C@]34C)[C@@H]1CC=C2c1cccnc1,-4.094144582
C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CC=C2c1cncc(Cl)c1,-4.094144582
C[C@]12CC[C@H]3[C@@H](CCC4C[C@](C)(O)CC[C@@]43C)[C@@H]1CC=C2c1cncc(F)c1,-4.094144582
C[C@]12CC[C@H]3[C@@H](CC(F)C4=CC(=O)CC[C@@]43C)[C@@H]1CC=C2c1cncc(F)c1,-4.094144582
COc1cncc(C2=CC[C@H]3[C@@H]4CC[C@H]5COCCC[C@]5(C)[C@H]4CC[C@]23C)c1,-4.094144582
COc1cncc(C2=CC[C@H]3[C@@H]4CC[C@H]5CCOCC[C@]5(C)[C@H]4CC[C@]23C)c1,-4.094144582
CN1C(=O)COC[C@@]2(C)C1CC[C@H]1[C@@H]3CC=C(c4cccnc4)[C@@]3(C)CC[C@@H]12,-4.094144582
C[C@]12CC[C@H]3[C@@H](CC(F)C4=CC(=O)NCC[C@@]43C)[C@@H]1CC=C2c1cccnc1,-4.094144582
CC[C@]1(O)CC[C@@]2(C)C(CC[C@H]3[C@@H]4CC=C(c5cccnc5)[C@@]4(C)CC[C@@H]32)C1,-4.094144582
Cc1cncc(C2=CC[C@H]3[C@@H]4CC[C@H]5COC(=O)CC[C@]5(C)[C@H]4CC[C@]23C)c1,-4.094144582
COc1cncc(C2=CC[C@H]3[C@@H]4CC(=O)C5CCCC[C@]5(C)[C@H]4CC[C@]23C)c1,-4.094144582
CCc1cncc(C2=CC[C@H]3[C@@H]4CCN5CCCCC[C@]5(C)[C@H]4CC[C@]23C)c1,-4.094144582
Cc1cncc(C2=CC[C@H]3[C@@H]4CCN5C(=O)CCCC[C@]5(C)[C@H]4CC[C@]23C)c1,-4.094144582
CC1C[C@H]2[C@@H]3CCC(c4cccnc4)[C@@]3(C)CC[C@@H]2[C@@]2(C)CCNC(=O)C=C12,-4.094144582
COc1cncc(C2=CC[C@H]3[C@@H]4CC=C5N(C)C(=O)C[C@]5(C)[C@H]4CC[C@]23C)c1,-4.094144582
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)NCC[C@@]43C)C1=CC=C2c1cncc(F)c1,-4.094144582
CC1C[C@H]2C3=CC=C(c4cncc(F)c4)[C@@]3(C)CC[C@@H]2[C@@]2(C)CCC(=O)C=C12,-4.094144582
C[C@]12CC[C@H]3[C@@H](C4CC4C4=CC(=O)CC[C@@]43C)[C@@H]1CC=C2c1cncc(F)c1,-4.094144582
CC1C[C@H]2[C@@H]3CC=C(c4ccncc4)[C@@]3(C)CC[C@@H]2[C@@]2(C)CCNC(=O)C=C12,-4.094144582
CN1C(=O)CCC[C@@]2(C)C1=CC[C@H]1[C@@H]3CC=C(c4cccnc4)[C@@]3(C)CC[C@@H]12,-4.094144582
CC1(C)C2=CC[C@H]3C4=CC=C(c5cccnc5)[C@@]4(C)CC[C@@H]3[C@@]2(C)CCC1O,-4.094144582
COc1cncc(C2=CC=C3[C@@H]4CCC5=CC(=O)CC[C@]5(C)[C@H]4CC[C@]23C)c1,-4.094144582
C=C1C[C@@H]2[C@H](CC[C@]3(C)C(c4cncc(F)c4)=CC[C@@H]23)[C@@]2(C)C=CC(=O)C=C12,-4.094144582
C[C@]12CC[C@H]3[C@@H](C4CC4C4=CC(=O)NCC[C@@]43C)[C@@H]1CC=C2c1cccnc1,-4.094144582
CN1CC[C@@]2(C)C(=CC1=O)CC[C@H]1C3=CC=C(c4cccnc4)[C@@]3(C)CC[C@@H]12,-4.094144582
CCC1C[C@H]2C3=CC=C(c4cccnc4)[C@@]3(C)CC[C@@H]2[C@@]2(C)CCC(=O)C=C12,-4.094144582
C[C@]12CC[C@H]3[C@@H](CC4(CC4)C4=CC(=O)CC[C@@]43C)[C@@H]1CC=C2c1cccnc1,-4.094144582
C[C@]12C=CC(=O)C=C1C1(CC1)C[C@@H]1[C@@H]2CC[C@]2(C)C(c3cccnc3)=CC[C@@H]12,-4.094144582
C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CC=C2c1cccnc1F,-4.094144582
C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CC=C2c1ccc(F)nc1,-4.094144582
Cc1cncc(C2=CC[C@H]3[C@@H]4CC[C@H]5COCCC[C@]5(C)[C@H]4CC[C@]23C)c1,-4.094144582
C[C@]1(O)CC[C@@]2(C)C(CC[C@H]3[C@@H]4CC=C(c5cccnc5)[C@@]4(C)CC[C@@H]32)C1,-4.094144582
Cc1cncc(C2=CC[C@H]3[C@@H]4CC(O)C5CCCC[C@]5(C)[C@H]4CC[C@]23C)c1,-4.094144582
C[C@]12CC[C@H]3[C@@H](CC[C@H]4COC(=O)CC[C@]34C)[C@@H]1CC=C2c1cccnc1,-4.094144582
C[C@]12CC[C@H]3[C@@H](CC[C@H]4CC(=O)OCC[C@@]43C)[C@@H]1CC=C2c1cccnc1,-4.094144582
CN1CC[C@@]2(C)C(=CC1=O)CC[C@H]1[C@@H]3CC=C(n4ccnc4)[C@@]3(C)CC[C@@H]12,-4.094144582
C[C@]12CC[C@H]3[C@@H](CC(F)C4=CC(=O)CC[C@@]43C)[C@@H]1CC=C2c1cccnc1,-4.094144582
C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)C1=CC=C2c1cncc(F)c1,-4.094144582
CC1C[C@H]2[C@@H]3CCC(c4cccnc4)[C@@]3(C)CC[C@@H]2[C@@]2(C)CCC(=O)C=C12,-4.094144582
Cc1cncc(C2=CC[C@H]3[C@@H]4CC(=O)C5CCCC[C@]5(C)[C@H]4CC[C@]23C)c1,-4.094144582
C[C@]12CC[C@H]3[C@@H](CC4CC45C[C@@H](O)CC[C@]35C)[C@@H]1CC=C2c1cccnc1,-4.094144582
C[C@]1(O)CC[C@@]2(C)C(CC[C@H]3C4=CC=C(c5cccnc5)[C@@]4(C)CC[C@@H]32)C1,-4.094144582
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)NCC[C@@]43C)[C@@H]1CC=C2c1cnccn1,-4.094144582
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)NCC[C@@]43C)[C@@H]1CC=C2c1cncnc1,-4.094144582
C[C@]12CC[C@H]3[C@@H](C=CC4=CC(=O)CC[C@@]43C)[C@@H]1CC=C2c1cncc(F)c1,-4.094144582
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)C1=CC=C2c1cncc(F)c1,-4.094144582
C[C@]12CC[C@H]3[C@@H](CC[C@H]4CC(=O)NCC[C@@]43C)C1=CC=C2c1cccnc1,-4.094144582
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)NCC[C@@]43C)[C@@H]1CC=C2c1cccnc1,-4.094144582
C[C@]12CC[C@H]3[C@@H](CC=C4CC(=O)CCC[C@@]43C)[C@@H]1CC=C2c1cnccn1,-4.094144582
CC1C[C@@H]2[C@H](CC[C@]3(C)C(c4cccnc4)CC[C@@H]23)[C@@]2(C)C=CC(=O)C=C12,-4.094144582
Cc1ccncc1C1=CC=C2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,-4.094144582
CC1C[C@H]2[C@@H]3CC=C(c4cccnc4)[C@@]3(C)CC[C@@H]2[C@@]2(C)CCC(=O)C=C12,-4.094144582
C[C@]12CC[C@H]3[C@@H](C=CC4=C(O)C(=O)CC[C@@]43C)[C@@H]1CC=C2c1cccnc1,-4.094144582
C[C@]12CC[C@H]3[C@@H](CCC4=C/C(=N/O)CC[C@@]43C)C1=CC=C2c1cccnc1,-4.094144582
CC1C[C@@H]2[C@H](CC[C@]3(C)C(c4cccnc4)=CC[C@@H]23)[C@@]2(C)C=CC(=O)C=C12,-4.094144582
C=C1C[C@H]2[C@@H]3CC=C(c4cccnc4)[C@@]3(C)CC[C@@H]2[C@@]2(C)CCC(=O)C=C12,-4.094144582
C[C@]12CC[C@H]3[C@@H](C4CC4C4=CC(=O)CC[C@@]43C)[C@@H]1CC=C2c1cccnc1,-4.094144582
CC1C[C@H]2C3=CC=C(c4cccnc4)[C@@]3(C)CC[C@@H]2[C@@]2(C)CCC(=O)C=C12,-4.094144582
C[C@]12CC[C@H]3[C@@H](C=CC4=C(O)C(=O)CC[C@@]43C)C1=CC=C2c1cccnc1,-4.094144582
C=C1C[C@@H]2[C@H](CC[C@]3(C)C(c4cccnc4)=CC[C@@H]23)[C@@]2(C)C=CC(=O)C=C12,-4.094144582
CC1C[C@H]2C3=CC=C(c4cccnc4)[C@@]3(C)CC[C@@H]2[C@@]2(C)C=CC(=O)C=C12,-4.094144582
