CHEMBL_ID,Molecular Weight,SMILES,Standard Type,Standard Relation,STANDARD_VALUE,Standard Units,STANDARD_VALUE_LN,,STANDARD_VALUE_LOG,,TYPE,TYPE_LABEL
CHEMBL4218620,625.18,[2H]C([2H])(c1cc(Cl)ccc1NCc1ccc(S(C)(=O)=O)cc1)N1CCN(C(=O)CNC(=O)C2CC23CCC(F)(F)CC3)CC1,T1/2,'=',0.01667,hr,-4.094144582,,-1.7780644,,unstable,0
CHEMBL3972001,458.57,CC(=O)N[C@@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC=C(c5cncc(C(F)(F)F)c5)[C@@]4(C)CC[C@@H]32)C1,T1/2,'=',0.01667,hr,-4.094144582,,-1.7780644,,unstable,0
CHEMBL3903145,446.64,COc1cncc(C2=CC[C@H]3[C@@H]4CC=C5C[C@H](NC(=O)C6CC6)CC[C@]5(C)[C@H]4CC[C@]23C)c1,T1/2,'=',0.01667,hr,-4.094144582,,-1.7780644,,unstable,0
CHEMBL3973768,440.58,CC(=O)N[C@@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC=C(c5cncc(C(F)F)c5)[C@@]4(C)CC[C@@H]32)C1,T1/2,'=',0.01667,hr,-4.094144582,,-1.7780644,,unstable,0
CHEMBL3985026,422.61,COc1cncc(C2=CC[C@H]3[C@@H]4CCC5C[C@@H](NC(C)=O)CC[C@]5(C)[C@H]4CC[C@]23C)c1,T1/2,'=',0.01667,hr,-4.094144582,,-1.7780644,,unstable,0
CHEMBL3976482,420.64,CC(C)C(=O)N[C@H]1CC[C@@]2(C)C(CC[C@H]3[C@@H]4CC=C(c5cccnc5)[C@@]4(C)CC[C@@H]32)C1,T1/2,'=',0.01667,hr,-4.094144582,,-1.7780644,,unstable,0
CHEMBL3984804,419.61,CCNC(=O)N[C@@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC=C(c5cccnc5)[C@@]4(C)CC[C@@H]32)C1,T1/2,'=',0.01667,hr,-4.094144582,,-1.7780644,,unstable,0
CHEMBL3907455,419.61,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@H](NC(=O)C5CCC5)CC[C@@]43C)[C@@H]1CC=C2n1ccnc1,T1/2,'=',0.01667,hr,-4.094144582,,-1.7780644,,unstable,0
CHEMBL3933845,418.63,C[C@]12CC[C@H]3[C@@H](CCC4C[C@H](NC(=O)C5CC5)CC[C@@]43C)[C@@H]1CC=C2c1cccnc1,T1/2,'=',0.01667,hr,-4.094144582,,-1.7780644,,unstable,0
CHEMBL3904216,418.63,CCCC(=O)N[C@@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC=C(c5cccnc5)[C@@]4(C)CC[C@@H]32)C1,T1/2,'=',0.01667,hr,-4.094144582,,-1.7780644,,unstable,0
CHEMBL3965598,416.61,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@H](NC(=O)C5CC5)CC[C@@]43C)[C@@H]1CC=C2c1cccnc1,T1/2,'=',0.01667,hr,-4.094144582,,-1.7780644,,unstable,0
CHEMBL3937534,412.52,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)NCC[C@@]43C)[C@@H]1CC=C2c1cncc(C(F)F)c1,T1/2,'=',0.01667,hr,-4.094144582,,-1.7780644,,unstable,0
CHEMBL3903451,408.59,CCNC(=O)N[C@@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC=C(n5ccnc5)[C@@]4(C)CC[C@@H]32)C1,T1/2,'=',0.01667,hr,-4.094144582,,-1.7780644,,unstable,0
CHEMBL3903927,408.59,COC(=O)N[C@H]1CC[C@@]2(C)C(CC[C@H]3[C@@H]4CC=C(c5cccnc5)[C@@]4(C)CC[C@@H]32)C1,T1/2,'=',0.01667,hr,-4.094144582,,-1.7780644,,unstable,0
CHEMBL3902840,408.56,CC(=O)N[C@@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC=C(c5cncc(F)c5)[C@@]4(C)CC[C@@H]32)C1,T1/2,'=',0.01667,hr,-4.094144582,,-1.7780644,,unstable,0
CHEMBL3911633,406.57,COc1cncc(C2=CC[C@H]3[C@@H]4CCC5=CC(=O)N(C)CC[C@]5(C)[C@H]4CC[C@]23C)c1,T1/2,'=',0.01667,hr,-4.094144582,,-1.7780644,,unstable,0
CHEMBL3944108,406.57,COc1cncc(C2=CC[C@H]3[C@@H]4CC=C5N(C)C(=O)CCC[C@]5(C)[C@H]4CC[C@]23C)c1,T1/2,'=',0.01667,hr,-4.094144582,,-1.7780644,,unstable,0
CHEMBL3917652,405.59,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@H](NC(=O)C5CC5)CC[C@@]43C)[C@@H]1CC=C2n1ccnc1,T1/2,'=',0.01667,hr,-4.094144582,,-1.7780644,,unstable,0
CHEMBL3978652,404.55,COc1cncc(C2=CC=C3[C@@H]4CCC5=CC(=O)N(C)CC[C@]5(C)[C@H]4CC[C@]23C)c1,T1/2,'=',0.01667,hr,-4.094144582,,-1.7780644,,unstable,0
CHEMBL3981088,403.51,C[C@]12CC[C@H]3[C@@H](CC(F)C4(O)C[C@@H](O)CC[C@]34C)[C@@H]1CC=C2c1cncc(F)c1,T1/2,'=',0.01667,hr,-4.094144582,,-1.7780644,,unstable,0
CHEMBL3966729,395.59,CCOc1cncc(C2=CC[C@H]3[C@@H]4CC[C@H]5COCCC[C@]5(C)[C@H]4CC[C@]23C)c1,T1/2,'=',0.01667,hr,-4.094144582,,-1.7780644,,unstable,0
